knee: 3
garage: N
lamp: N
will: N
people: N
mop: N
lion: N
walker: N
try to: N
jeans: N
dinner: N
stand: 2
wind: N
sky: N
morning: N
teacher: N
banana: N
pour: N
your: N
wait: N
could: N
clown: N
drop: N
lollipop: N
cow: N
block: N
bottle: N
bat: N
melon: N
babysitter's name: N
tape: N
downtown: N
hard: N
tired: 4
backyard: N
closet: N
woods: N
and: N
plate: N
train: N
tummy: 3
give: N
his: N
kitchen: N
stone: N
out: N
let me: N
look: N
bottom: N
can (object): N
beside: N
every: N
circus: N
don't: N
porch: N
be: N
pull: N
church: N
open: N
want to: N
grrr: N
cowboy: N
mommy: N
corn: N
there: N
green: N
turtle: N
go: N
cheek: 2
pet's name: N
key: N
ice cream: N
juice: N
sandwich: N
puzzle: N
on: N
puppy: N
stop: N
penguin: N
popcorn: N
elephant: N
soap: N
do: N
write: N
kitty: N
slow: N
roof: N
fireman: N
play: N
quack quack: N
cup: N
toast: N
mouse: N
so big: N
vanilla: N
sink: N
baby: N
up: N
hen: N
wipe: N
penis: N
person: N
egg: N
bead: N
work (action): N
doctor: N
chicken (food): N
farm: N
no: N
poor: N
love: N
we: N
yourself: N
need: N
sleep: 4
much: N
help: N
sidewalk: N
cat: N
big: N
hide: N
sneaker: N
nurse: N
hello: N
peanut butter: N
they: N
moon: N
have to: N
pickle: N
naughty: N
raisin: N
build: N
knock: N
stick: N
strawberry: N
babysitter: N
dump: N
shake: N
windy: N
pancake: N
that: N
all gone: N
to: N
after: N
stove: N
wolf: N
first: N
pretzel: N
pillow: N
glove: N
daddy: N
read: N
push: N
sticky: N
sick: 3
those: N
friend: N
drive: N
sofa: N
new: N
tiger: N
hungry: 4
head: 3
snow: N
hurry: N
kleenex: N
room: N
nap: 3
mailman: N
around: N
think: N
go potty: N
bathroom: N
careful: N
foot: 3
now: N
scissors: N
truck: N
lip: 2
store: N
buy: N
noodle: N
camping: N
tiny: N
water (beverage): N
pumpkin: N
fork: N
hi: N
jacket: N
share: N
because: N
feed: N
thirsty: 3
drink (beverage): N
white: N
last: N
thank you: N
hair: 3
hose: N
hammer: N
lick: N
did ya: N
turkey: N
the: N
chalk: N
wish: N
grandpa: N
hers: N
is: N
I: N
hug: 2
alligator: N
flower: N
touch: 2
snack: N
girl: N
french fries: N
gas station: N
teddybear: N
this: N
yesterday: N
splash: N
their: N
cut: N
sweater: N
draw: N
motorcycle: N
picnic: N
into: N
him: N
bicycle: N
us: N
flag: N
sing: N
wanna: N
eat: N
horse: N
ladder: N
pants: N
what: N
milk: N
above: N
buttocks: N
none: N
story: N
brown: N
were: N
refrigerator: N
a lot: N
hamburger: N
so: N
ear: 2
ice: N
rock: N
sock: N
see: N
boat: N
heavy: N
dark: N
then: N
loud: N
work (place): N
yard: N
muffin: N
other: N
tray: N
tickle: N
try: N
hold: N
where: N
kick: N
awake: 3
rocking chair: N
brother: N
sheep: N
bib: N
have: N
medicine: N
red: N
you: N
camera: N
water (not beverage): N
sleepy: 3
hand: 3
bean: N
dress: N
run: 2
scared: 3
before: N
jump: N
wake: N
bee: N
tree: N
belt: N
aunt: N
pig: N
finish: N
bump: N
watch (action): N
hit: N
garden: N
our: N
soda: N
more: N
leg: 3
yucky: N
close: N
table: N
long: N
grandma: N
fast: N
cheese: N
get: N
orange (description): N
pool: N
sun: N
over: N
he: N
oven: N
chase: N
pudding: N
nut: N
me: N
say: N
for: N
clean (description): N
nose: 2
park: N
chin: 2
wet: N
tomorrow: N
orange (food): N
of: N
meat: N
vroom: N
sweep: N
hat: N
washing machine: N
can (auxiliary): N
today: N
coffee: N
pick: N
car: N
squirrel: N
inside: N
my: N
fish (food): N
fine: N
which: N
pizza: N
paper: N
not: N
crayon: N
dish: N
tuna: N
day: N
street: N
dry (action): N
good: N
ouch: 4
under: N
slide (object): N
bug: N
face: 3
cry: 3
gonna get you: N
potty: N
country: N
baa baa: N
firetruck: N
am: N
them: N
cute: N
cheerio: N
swim: N
with: N
playground: N
drink (action): N
in: N
crib: N
cereal: N
little: N
airplane: N
boy: N
tear: 2
watch (object): N
ride: N
woof woof: N
if: N
rain: N
broom: N
snowman: N
grass: N
police: N
donkey: N
full: N
arm: 3
nail: N
breakfast: N
orange (description): N
pool: N
sun: N
over: N
he: N
oven: N
chase: N
pudding: N
nut: N
me: N
say: N
for: N
clean (description): N
nose: 2
park: N
chin: 2
wet: N
tomorrow: N
orange (food): N
of: N
meat: N
vroom: N
sweep: N
hat: N
washing machine: N
can (auxiliary): N
today: N
coffee: N
pick: N
car: N
squirrel: N
inside: N
my: N
fish (food): N
fine: N
which: N
pizza: N
paper: N
not: N
crayon: N
dish: N
tuna: N
day: N
street: N
dry (action): N
good: N
ouch: 4
under: N
slide (object): N
bug: N
face: 3
cry: 3
gonna get you: N
potty: N
country: N
baa baa: N
firetruck: N
am: N
them: N
cute: N
cheerio: N
swim: N
with: N
playground: N
drink (action): N
in: N
crib: N
cereal: N
little: N
airplane: N
boy: N
tear: 2
watch (object): N
ride: N
woof woof: N
if: N
rain: N
broom: N
snowman: N
grass: N
police: N
donkey: N
full: N
arm: 3
nail: N
breakfast: N
orange: N
pool: N
sun: N
over: N
he: N
oven: N
chase: N
pudding: N
nut: N
me: N
say: N
for: N
clean: N
nose: 2
park: N
chin: 2
wet: N
tomorrow: N
orange: N
of: N
meat: N
vroom: N
sweep: N
hat: N
washing machine: N
can: N
today: N
coffee: N
pick: N
car: N
squirrel: N
inside: N
my: N
fish: N
fine: N
which: N
