Here are the ratings for the torso:

knee: 3
garage: N
lamp: N
will: N
people: N
mop: N
lion: N
walker: N
try to: N
jeans: 2
dinner: 2
stand: 3
wind: N
sky: N
morning: N
teacher: N
banana: N
pour: N
your: N
wait: N
could: N
clown: N
drop: N
lollipop: N
cow: N
block: N
bottle: N
bat: N
melon: N
babysitter's name: N
tape: N
downtown: N
hard: N
tired: 2
backyard: N
closet: N
woods: N
and: N
plate: N
train: N
tummy: 2
give: N
his: N
kitchen: N
stone: N
out: N
let me: N
look: N
bottom: N
can (object): N
beside: N
every: N
circus: N
don't: N
porch: N
be: N
pull: N
church: N
open: N
want to: N
grrr: N
cowboy: N
mommy: N
corn: N
there: N
green: N
turtle: N
go: N
cheek: N
pet's name: N
key: N
ice cream: N
juice: N
sandwich: N
puzzle: N
on: N
puppy: N
stop: N
penguin: N
popcorn: N
elephant: N
soap: N
do: N
write: N
kitty: N
slow: N
roof: N
fireman: N
play: N
quack quack: N
cup: N
toast: N
mouse: N
so big: N
vanilla: N
sink: N
baby: N
up: N
hen: N
wipe: N
penis: N
person: N
egg: N
bead: N
work (action): N
doctor: N
chicken (food): N
farm: N
no: N
poor: N
love: N
we: N
yourself: N
need: N
sleep: N
much: N
help: N
sidewalk: N
cat: N
big: N
hide: N
sneaker: N
nurse: N
hello: N
peanut butter: N
they: N
moon: N
have to: N
pickle: N
naughty: N
raisin: N
build: N
knock: N
stick: N
strawberry: N
babysitter: N
dump: N
shake: N
windy: N
pancake: N
that: N
all gone: N
to: N
after: N
stove: N
wolf: N
first: N
pretzel: N
pillow: N
glove: N
daddy: N
read: N
push: N
sticky: N
sick: N
those: N
friend: N
drive: N
sofa: N
new: N
tiger: N
hungry: N
head: N
snow: N
hurry: N
kleenex: N
room: N
nap: N
mailman: N
around: N
think: N
go potty: N
bathroom: N
careful: N
foot: N
now: N
scissors: N
truck: N
lip: N
store: N
buy: N
noodle: N
camping: N
tiny: N
water (beverage): N
pumpkin: N
fork: N
hi: N
jacket: N
share: N
because: N
feed: N
thirsty: N
drink (beverage): N
white: N
last: N
thank you: N
hair: N
hose: N
hammer: N
lick: N
did ya: N
turkey: N
the: N
chalk: N
wish: N
grandpa: N
hers: N
is: N
I: N
hug: N
alligator: N
flower: N
touch: N
snack: N
girl: N
french fries: N
gas station: N
teddybear: N
this: N
yesterday: N
splash: N
their: N
cut: N
sweater: N
draw: N
motorcycle: N
picnic: N
into: N
him: N
bicycle: N
us: N
flag: N
sing: N
wanna: N
eat: N
horse: N
ladder: N
pants: N
what: N
milk: N
above: N
buttocks: N
none: N
story: N
brown: N
were: N
refrigerator: N
a lot: N
hamburger: N
so: N
ear: N
ice: N
rock: N
sock: N
see: N
boat: N
heavy: N
dark: N
then: N
loud: N
work (place): N
yard: N
muffin: N
other: N
tray: N
tickle: N
try: N
hold: N
where: N
kick: N
awake: N
rocking chair: N
brother: N
sheep: N
bib: N
have: N
medicine: N
red: N
you: N
camera: N
water (not beverage): N
sleepy: N
hand: N
bean: N
dress: N
run: N
scared: N
before: N
jump: N
wake: N
bee: N
tree: N
belt: N
aunt: N
pig: N
finish: N
bump: N
watch (action): N
hit: N
garden: N
our: N
soda: N
more: N
leg: N
yucky: N
close: N
table: N
long: N
grandma: N
fast: N
cheese: N
get: N
orange (description): N
pool: N
sun: N
over: N
he: N
oven: N
chase: N
pudding: N
nut: N
me: N
say: N
for: N
clean (description): N
nose: N
park: N
chin: N
wet: N
tomorrow: N
orange (food): N
of: N
meat: N
vroom: N
sweep: N
hat: N
washing machine: N
can (auxiliary): N
today: N
coffee: N
pick: N
car: N
squirrel: N
inside: N
my: N
fish (food): N
fine: N
which: N
pizza: N
paper: N
not: N
crayon: N
dish: N
tuna: N
day: N
street: N
dry (action): N
good: N
ouch: N
under: N
slide (object): N
bug: N
face: N
cry: N
gonna get you: N
potty: N
country: N
baa baa: N
firetruck: N
am: N
them: N
cute: N
cheerio: N
swim: N
with: N
playground: N
drink (action): N
in: N
crib: N
cereal: N
little: N
airplane: N
boy: N
tear: N
watch (object): N
ride: N
woof woof: N
if: N
rain: N
broom: N
snowman: N
grass: N
police: N
donkey: N
full: N
arm: N
nail: N
breakfast: N
applesauce: N
spill: N
stay: N
gotta: N
lunch: N
couch: N
monkey: N
vitamins: N
glue: N
picture: N
spoon: N
on top of: N
a: N
zoo: N
swing (action): N
shorts: N
she: N
dirty: N
deer: N
diaper: N
black: N
zipper: N
need to: N
jelly: N
fall: N
bathtub: N
chair: N
bus: N
put: N
necklace: N
pencil: N
listen: N
down: N
glass: N
off: N
asleep: N
soft: N
comb: N
smile: N
behind: N
about: N
taste: N
dryer: N
hot: N
night: N
old: N
present: N
butter: N
lawn mower: N
bunny: N
rooster: N
belly button: N
glasses: N
take: N
house: N
her: N
bear: N
knife: N
yes: N
find: N
sprinkler: N
boo boo: N
play pen: N
star: N
did: N
moose: N
blue: N
radio: N
napkin: N
potato: N
dog: N
but: N
away: N
school: N
helicopter: N
sandbox: N
shh: N
gentle: N
boots: N
yum yum: N
penny: N
show: N
bird: N
tooth: N
tricycle: N
mine: N
cold: N
vagina: N
grape: N
child: N
does: N
tonight: N
bowl: N
donut: N
meow: N
another: N
coke: N
cover: N
zebra: N
talk: N
by: N
sit: N
bad: N
when: N
toothbrush: N
movie: N
window: N
bed: N
telephone: N
peekaboo: N
cake: N
button: N
stuck: N
myself: N
choo choo: N
bath: N
going to: N
too: N
child's own name: N
break: N
cockadoodledoo: N
carrot: N
walk: N
