,seq,item_id,category1,category2,item_definition,uni_lemma,word_1,word_2,word_3,word_for_llm,irregular,note,AoA,concreteness,concreteness_sd,iconicity,iconicity_sd,childBOI,childBOI_sd,adultBOI,adultBOI_sd,Auditory,Auditory_sd,Gustatory,Gustatory_sd,Haptic,Haptic_sd,Interoceptive,Interoceptive_sd,Olfactory,Olfactory_sd,Visual,Visual_sd,Foot_leg,Foot_leg_sd,Hand_arm,Hand_arm_sd,Head,Head_sd,Mouth,Mouth_sd,Torso,Torso_sd,phoneme,phoneme_sd,socialness,socialness_sd,semD,semD_sd,valence,valence_sd,arousal,arousal_sd,dominance,dominance_sd,imageability,imageability_sd,babiness,babiness_sd,frequency,frequency_sd,mlu,mlu_sd,contextD,contextD_sd,gpt-4o-2024-05-13_concreteness_sd,gpt-4o-2024-05-13_iconicity_sd,gpt-4o-2024-05-13_childBOI_sd,gpt-4o-2024-05-13_adultBOI_sd,gpt-4o-2024-05-13_Auditory_sd,gpt-4o-2024-05-13_Gustatory_sd,gpt-4o-2024-05-13_Haptic_sd,gpt-4o-2024-05-13_Interoceptive_sd,gpt-4o-2024-05-13_Olfactory_sd,gpt-4o-2024-05-13_Visual_sd,gpt-4o-2024-05-13_Foot_leg_sd,gpt-4o-2024-05-13_Hand_arm_sd,gpt-4o-2024-05-13_Head_sd,gpt-4o-2024-05-13_Mouth_sd,gpt-4o-2024-05-13_Torso_sd,gpt-4o-2024-05-13_socialness_sd,gpt-4o-2024-05-13_valence_sd,gpt-4o-2024-05-13_arousal_sd,gpt-4o-2024-05-13_dominance_sd,gpt-4o-2024-05-13_imageability_sd,gpt-4o-2024-05-13_babiness_sd,gpt-4o-mini-2024-07-18_concreteness_sd,gpt-4o-mini-2024-07-18_iconicity_sd,gpt-4o-mini-2024-07-18_childBOI_sd,gpt-4o-mini-2024-07-18_adultBOI_sd,gpt-4o-mini-2024-07-18_Auditory_sd,gpt-4o-mini-2024-07-18_Gustatory_sd,gpt-4o-mini-2024-07-18_Haptic_sd,gpt-4o-mini-2024-07-18_Interoceptive_sd,gpt-4o-mini-2024-07-18_Olfactory_sd,gpt-4o-mini-2024-07-18_Visual_sd,gpt-4o-mini-2024-07-18_Foot_leg_sd,gpt-4o-mini-2024-07-18_Hand_arm_sd,gpt-4o-mini-2024-07-18_Head_sd,gpt-4o-mini-2024-07-18_Mouth_sd,gpt-4o-mini-2024-07-18_Torso_sd,gpt-4o-mini-2024-07-18_socialness_sd,gpt-4o-mini-2024-07-18_valence_sd,gpt-4o-mini-2024-07-18_arousal_sd,gpt-4o-mini-2024-07-18_dominance_sd,gpt-4o-mini-2024-07-18_imageability_sd,gpt-4o-mini-2024-07-18_babiness_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_concreteness_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_iconicity_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_childBOI_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_adultBOI_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Auditory_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Gustatory_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Haptic_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Interoceptive_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Olfactory_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Visual_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Foot_leg_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Hand_arm_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Head_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Mouth_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Torso_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_socialness_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_valence_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_arousal_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_dominance_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_imageability_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_babiness_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_concreteness_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_iconicity_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_childBOI_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_adultBOI_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Auditory_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Gustatory_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Haptic_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Interoceptive_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Olfactory_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Visual_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Foot_leg_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Hand_arm_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Head_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Mouth_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Torso_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_socialness_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_valence_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_arousal_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_dominance_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_imageability_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_babiness_sd
0,1,item_1,sounds,other,baa baa,baa baa,baa baa,NA,NA,baa baa,False,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49206349206349,NA,34.0,NA,0.5163977794943223,1.1737877907772671,1.6363916944844767,0.6324555320336759,1.1352924243950935,0.0,0.42163702135578396,0.9486832980505138,0.0,1.1547005383792515,0.42163702135578396,0.6749485577105528,1.0801234497346432,1.4298407059684812,0.9189365834726815,0.48304589153964794,1.3703203194062976,1.3165611772087666,1.2649110640673518,1.0749676997731399,0.9660917830792959,0.9759000729485333,0.48304589153964794,0.7071067811865476,0.0,1.3165611772087666,0.0,0.31622776601683794,0.44095855184409843,0.3333333333333333,0.5676462121975466,0.0,0.31622776601683794,0.33333333333333337,0.0,0.31622776601683794,0.7378647873726218,0.31622776601683794,0.9486832980505138,0.6992058987801009,0.4830458915396479,1.1972189997378648,1.4944341180973264,0.5345224838248488,1.9760470401187074,1.632993161855452,0.5163977794943222,0.0,0.7559289460184545,0.0,0.0,1.7320508075688772,0.0,0.44095855184409843,0.0,1.4142135623730951,0.0,1.5811388300841898,0.6992058987801011,1.1972189997378646,1.1547005383792515,0.699205898780101,2.2253945610567474,1.2516655570345725,1.2516655570345725,0.3535533905932738,0.37796447300922725,0.816496580927726,0.0,1.1972189997378648,0.0,0.0,1.66332999331662,0.0,0.7071067811865476,0.7071067811865476,0.8432740427115678,0.0,0.9189365834726815,1.07496769977314,0.5676462121975466,0.816496580927726,1.3498971154211057,1.4142135623730951
1,2,item_2,sounds,other,choo choo,choo choo,choo choo,NA,NA,choo choo,False,NA,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48125,NA,64.0,NA,0.48304589153964794,0.97182531580755,1.8737959096740262,0.6749485577105528,1.1352924243950935,0.0,0.4830458915396479,0.9486832980505138,0.0,1.1972189997378648,0.7888106377466155,0.7888106377466155,1.0749676997731399,1.4298407059684812,0.8232726023485646,0.4830458915396479,1.3333333333333333,1.5951314818673865,1.2649110640673518,0.9486832980505138,0.5676462121975466,0.9759000729485333,0.5676462121975467,0.7071067811865476,0.0,0.8432740427115679,0.0,0.31622776601683794,0.44095855184409843,0.3333333333333333,0.8432740427115679,0.0,0.31622776601683794,0.44095855184409843,0.0,0.31622776601683794,0.6992058987801011,0.31622776601683794,0.9189365834726814,0.8432740427115678,0.5163977794943222,0.9944289260117531,1.5951314818673867,0.5345224838248488,2.052872551885702,1.6733200530681511,0.5163977794943222,0.0,0.7559289460184545,0.0,0.0,2.204792759220492,0.3779644730092273,0.7071067811865476,0.0,0.0,0.3779644730092273,1.3416407864998738,0.9189365834726815,1.1972189997378646,1.1547005383792515,0.699205898780101,2.760262237369417,1.3498971154211057,1.0801234497346435,0.7264831572567789,1.3093073414159542,0.875595035770913,0.0,1.3165611772087666,0.0,0.31622776601683794,2.3475755815545347,0.0,0.9718253158075502,0.7071067811865476,0.8432740427115678,0.0,0.9428090415820634,1.07496769977314,0.6666666666666666,0.5163977794943222,1.4337208778404378,1.3333333333333333
2,3,item_3,sounds,other,cockadoodledoo,cockadoodledoo,cockadoodledoo,NA,NA,cockadoodledoo,False,NA,26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.916666667,NA,1558.14096158665,NA,2.0,NA,1.0,NA,0.5163977794943223,0.9944289260117533,1.5811388300841898,0.6324555320336759,1.1352924243950935,0.0,0.42163702135578396,0.9486832980505138,0.0,1.1972189997378648,0.42163702135578396,0.6749485577105528,1.0801234497346432,1.4298407059684812,0.9189365834726815,0.6992058987801011,1.3333333333333333,1.3703203194062976,1.2649110640673518,0.9660917830792958,1.2292725943057183,0.9759000729485333,0.5676462121975467,0.7071067811865476,0.0,1.2649110640673515,0.0,0.3333333333333333,0.44095855184409843,0.3333333333333333,0.6324555320336759,0.0,0.31622776601683794,0.33333333333333337,0.0,0.31622776601683794,0.6749485577105528,0.31622776601683794,0.9189365834726814,0.6992058987801009,0.5163977794943222,1.8287822299126937,1.5491933384829668,0.5345224838248488,1.9760470401187074,1.632993161855452,0.48795003647426655,0.0,0.7559289460184545,0.0,0.0,1.7320508075688772,0.0,0.44095855184409843,1.5811388300841898,2.439750182371333,0.0,1.5165750888103102,0.6992058987801011,1.1972189997378646,1.1547005383792515,0.699205898780101,1.7728105208558367,1.2516655570345725,1.1972189997378648,0.3535533905932738,0.37796447300922725,0.9189365834726814,0.0,1.1972189997378648,0.0,0.0,1.66332999331662,0.0,0.7071067811865476,0.7071067811865476,0.8432740427115678,0.0,0.9189365834726815,1.0593499054713802,0.5676462121975466,0.7888106377466155,1.3498971154211057,1.1737877907772671
3,4,item_4,sounds,other,grrr,grrr,grrr,NA,NA,grrr,False,NA,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.282181153631,NA,5.125,NA,10.0,NA,0.7378647873726218,0.9428090415820634,0.31622776601683794,0.0,1.636391694484477,0.0,0.42163702135578396,1.3165611772087666,0.0,0.816496580927726,0.31622776601683794,0.699205898780101,1.1737877907772671,1.5238839267549946,0.8432740427115679,0.5163977794943223,1.0540925533894598,1.07496769977314,1.4907119849998598,0.7378647873726218,1.6865480854231354,0.6900655593423541,0.6666666666666666,0.4409585518440984,0.0,0.8755950357709131,0.0,0.31622776601683794,0.44095855184409843,0.3333333333333333,0.5676462121975467,0.0,0.31622776601683794,0.3535533905932738,0.0,0.31622776601683794,0.5163977794943222,0.6749485577105528,1.699673171197595,0.7071067811865476,0.7378647873726218,0.0,1.3333333333333333,0.7559289460184545,1.8644544714716085,0.8366600265340756,0.7867957924694432,0.0,0.7559289460184545,0.8864052604279183,0.0,0.881917103688197,0.0,0.44095855184409843,1.3703203194062978,1.889822365046136,0.7559289460184546,1.6733200530681511,0.8232726023485646,1.577621275493231,1.1737877907772674,1.1737877907772671,1.9760470401187076,1.2516655570345725,1.3498971154211057,0.3535533905932738,0.37796447300922725,0.9486832980505138,0.0,1.1595018087284057,0.9486832980505138,0.0,1.2516655570345725,0.0,0.7071067811865476,0.8819171036881969,1.3333333333333333,0.7071067811865476,0.7378647873726217,0.8232726023485646,0.674948557710553,0.5270462766947299,1.07496769977314,1.35400640077266
4,5,item_5,sounds,other,meow,meow,meow,NA,NA,meow,False,NA,17.0,3.92,1.41,5.8,1.54919333848296,3.379310345,2.320926433,1.608695652,1.587998467,4.75,0.550119604,0.15,0.670820393,0.4,0.994722918,0.5,1.277332747,0.1,0.447213595,1.6,1.759186415,0.095238095,0.43643578,0.19047619,0.679635757,2.904761905,2.904761905,1.619047619,1.909874092,0.095238095,0.43643578,3.0,NA,NA,NA,NA,NA,6.14,1.9,3.42,3.05,5.75,2.02,NA,NA,1.818181818,NA,1833.35002718263,NA,2.32264150943396,NA,111.0,NA,0.48304589153964794,1.0593499054713802,1.5811388300841898,0.6324555320336759,1.1352924243950935,0.0,0.42163702135578396,0.9486832980505138,0.0,1.247219128924647,0.31622776601683794,0.6749485577105528,1.0801234497346432,1.4298407059684812,0.9189365834726815,0.48304589153964794,1.3333333333333333,1.0749676997731399,1.2649110640673518,0.8432740427115677,1.5055453054181618,1.0606601717798212,0.3162277660168379,0.7071067811865476,0.0,1.5238839267549948,0.0,0.31622776601683794,0.44095855184409843,0.3333333333333333,0.816496580927726,0.0,0.31622776601683794,0.33333333333333337,0.0,0.31622776601683794,0.6749485577105528,0.31622776601683794,0.9486832980505138,0.5676462121975466,0.4830458915396479,2.260776661041756,1.4944341180973264,0.37796447300922725,2.370453040886408,1.632993161855452,0.5163977794943222,0.0,0.7559289460184545,0.0,0.0,0.8819171036881969,0.0,0.44095855184409843,0.0,1.4142135623730951,0.0,1.5811388300841898,1.1972189997378646,0.9944289260117531,0.9486832980505138,0.6749485577105528,1.7182493859684491,1.2516655570345725,1.2516655570345725,0.3535533905932738,0.37796447300922725,0.7378647873726218,0.0,1.1972189997378648,0.0,0.0,1.66332999331662,0.0,0.8333333333333334,0.7071067811865476,0.8432740427115678,0.0,0.9189365834726815,1.1547005383792515,0.6324555320336759,0.6749485577105528,1.3498971154211057,1.1005049346146119
5,6,item_6,sounds,other,moo,moo,moo,NA,NA,moo,False,NA,17.0,3.4,1.59,6.2,1.13529242439509,NA,NA,1.291666667,0.907896119,4.8,0.523148364,0.05,0.223606798,0.15,0.366347549,0.15,0.366347549,0.2,0.615587011,0.8,1.472555959,0.0,0.0,0.166666667,0.707106781,2.333333333,2.333333333,2.166666667,2.176073096,0.166666667,0.514495755,2.0,NA,1.9047619047619,1.4800257398019,NA,NA,5.48,1.4,3.95,2.19,5.18,1.59,NA,NA,4.076923077,NA,2500.2293798641,NA,3.34498308906426,NA,188.0,NA,0.5163977794943223,1.0593499054713802,1.5811388300841898,0.6324555320336759,1.1352924243950935,0.0,0.42163702135578396,0.9486832980505138,0.0,1.1972189997378648,0.42163702135578396,0.6749485577105528,1.0801234497346432,1.4298407059684812,0.9189365834726815,0.48304589153964794,1.3703203194062976,1.3165611772087666,1.2649110640673518,0.8432740427115677,1.3333333333333333,1.0606601717798212,0.3162277660168379,0.7071067811865476,0.0,1.5670212364724212,0.0,0.31622776601683794,0.44095855184409843,0.3333333333333333,0.875595035770913,0.0,0.31622776601683794,0.33333333333333337,0.0,0.31622776601683794,0.6749485577105528,1.2649110640673515,1.0749676997731399,0.6749485577105528,0.4830458915396479,2.6331223544175333,1.4944341180973264,0.37796447300922725,2.065879266282796,1.632993161855452,0.5163977794943222,0.0,0.7559289460184545,0.0,0.3535533905932738,1.7320508075688772,0.0,0.44095855184409843,0.0,1.4142135623730951,0.0,0.8944271909999159,1.349897115421106,1.1352924243950933,0.9660917830792959,0.6749485577105528,1.7182493859684491,1.2516655570345725,1.2516655570345725,0.3535533905932738,0.37796447300922725,0.7378647873726218,0.0,1.1972189997378648,0.0,0.0,1.66332999331662,0.0,0.7071067811865476,0.44095855184409843,0.8432740427115678,0.0,0.9189365834726815,1.1547005383792515,0.6324555320336759,0.6749485577105528,1.3498971154211057,1.0327955589886444
6,7,item_7,sounds,other,ouch,ouch,ouch,NA,NA,ouch,False,NA,18.0,2.76,1.43,6.1,0.875595035770913,5.208333333,2.08470969,1.75,1.224744871,0.684210526,1.293257368,0.052631579,0.229415734,4.105263158,1.410072372,4.210526316,1.315672509,0.0,0.0,1.315789474,1.827342684,2.894736842,1.696229048,2.894736842,1.559727072,3.105263158,3.105263158,3.368421053,1.535162905,2.736842105,1.726978906,2.0,NA,NA,NA,1.38385177441293,NA,NA,NA,NA,NA,NA,NA,3.2,2.3,5.25,NA,1849.29904340372,NA,2.17872340425532,NA,109.0,NA,0.6992058987801011,0.8755950357709131,2.590581230363393,0.6749485577105528,1.1547005383792515,0.0,1.505545305418162,0.7378647873726218,0.0,0.875595035770913,1.3165611772087666,0.7888106377466155,1.1595018087284057,1.07496769977314,0.8432740427115678,0.42163702135578396,0.9660917830792959,0.8232726023485646,1.2516655570345725,0.5270462766947299,1.4907119849998598,0.7440238091428449,0.6749485577105528,1.0137937550497031,0.0,0.5163977794943222,0.0,1.0327955589886444,1.0929064207170003,0.3333333333333333,0.8232726023485646,0.31622776601683794,0.6749485577105528,0.7264831572567789,2.5,0.6749485577105528,0.7378647873726218,0.42163702135578396,1.7919573407620817,0.6992058987801011,0.7888106377466155,3.5901098714230026,1.4491376746189437,0.7559289460184545,2.6958963523950885,0.8366600265340756,0.983192080250175,0.0,0.7440238091428449,1.3642254619787417,0.0,0.881917103688197,1.4880476182856899,0.9718253158075502,2.024845673131659,1.4142135623730951,1.4638501094227998,1.0,0.6324555320336759,2.260776661041756,1.1547005383792515,0.7378647873726218,2.7945525240230875,1.2292725943057186,1.349897115421106,1.6035674514745464,1.0606601717798212,1.4944341180973264,0.0,1.1005049346146119,1.1737877907772674,0.0,1.3165611772087666,0.9161253813129043,1.5,1.429840705968481,1.6865480854231356,0.7888106377466155,1.1005049346146119,0.7888106377466155,1.1785113019775793,0.7378647873726218,0.7071067811865476,1.35400640077266
7,8,item_8,sounds,other,quack quack,quack quack,quack quack,NA,NA,quack quack,False,NA,18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43202416918429,NA,96.0,NA,0.5163977794943223,0.9944289260117533,1.6363916944844767,0.6324555320336759,1.1352924243950935,0.0,0.42163702135578396,0.9486832980505138,0.0,1.1972189997378648,0.48304589153964794,0.6749485577105528,1.0749676997731399,1.4298407059684812,0.9189365834726815,0.48304589153964794,1.3333333333333333,1.4944341180973264,1.2649110640673518,0.9660917830792958,0.9660917830792959,1.0606601717798212,0.4714045207910317,0.7071067811865476,0.0,1.2649110640673515,0.0,0.31622776601683794,0.44095855184409843,0.3333333333333333,0.5676462121975466,0.0,0.31622776601683794,0.33333333333333337,0.0,0.31622776601683794,0.7378647873726218,0.4216370213557839,0.9486832980505138,0.6992058987801009,0.4830458915396479,1.2292725943057183,1.4944341180973264,0.5345224838248488,1.9760470401187074,1.632993161855452,0.48795003647426655,0.0,0.7559289460184545,0.0,0.0,1.7320508075688772,0.0,0.44095855184409843,0.0,0.0,0.3779644730092273,1.51657508881031,0.6992058987801011,1.1972189997378646,1.1547005383792515,0.5270462766947299,2.115700942049815,1.2516655570345725,1.3165611772087666,0.3535533905932738,0.37796447300922725,0.9189365834726814,0.0,1.1972189997378648,0.0,0.0,1.66332999331662,0.0,0.7071067811865476,0.7071067811865476,0.8432740427115678,0.0,0.9189365834726815,1.0593499054713802,0.5676462121975466,0.816496580927726,1.3498971154211057,1.2516655570345725
8,9,item_9,sounds,other,uh oh,uh oh,uh oh,NA,NA,uh oh,False,NA,15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.083333333,NA,NA,NA,3.93321299638989,NA,276.0,NA,0.6992058987801011,0.7378647873726218,0.31622776601683794,0.0,1.4907119849998598,0.0,0.42163702135578396,1.2649110640673518,0.0,0.816496580927726,0.6749485577105528,0.7888106377466155,1.1972189997378648,1.3984117975602022,0.8498365855987975,0.48304589153964794,0.6666666666666666,0.6666666666666666,1.3498971154211057,0.7378647873726218,0.6666666666666666,0.6900655593423543,0.5163977794943223,0.4409585518440984,0.0,0.6992058987801011,0.0,0.42163702135578396,0.3333333333333334,0.3333333333333333,0.8432740427115677,0.0,0.42163702135578396,0.7264831572567789,0.0,0.31622776601683794,0.9660917830792959,0.9944289260117531,1.728840330651992,0.7378647873726217,1.2649110640673518,0.816496580927726,1.286683937707919,0.7559289460184545,1.8644544714716085,0.408248290463863,0.816496580927726,0.0,0.0,1.511857892036909,0.0,0.8819171036881969,0.0,0.881917103688197,2.065591117977289,1.407885953173359,0.0,0.8366600265340756,0.4714045207910317,2.097617696340303,1.2516655570345725,0.6324555320336759,1.2535663410560174,1.2649110640673518,1.0137937550497031,0.7559289460184545,0.37796447300922725,1.3984117975602022,0.0,0.8498365855987975,0.8232726023485646,0.0,1.2516655570345725,0.0,1.740051084818425,1.4181364924121764,1.577621275493231,0.6992058987801011,1.1547005383792515,0.9660917830792958,0.7888106377466155,0.6992058987801011,1.0540925533894598,1.3703203194062976
9,10,item_10,sounds,other,vroom,vroom,vroom,NA,NA,vroom,False,NA,17.5,NA,NA,6.72727272727272,0.646669790682863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,2953.32745156511,NA,2.24657534246575,NA,60.0,NA,0.5270462766947299,1.1005049346146119,0.6324555320336759,0.6324555320336759,0.816496580927726,0.0,0.4830458915396479,0.9486832980505138,0.0,1.1547005383792515,0.6992058987801011,0.7888106377466155,1.0801234497346432,1.35400640077266,0.9189365834726815,0.48304589153964794,1.2516655570345725,1.1595018087284057,1.3374935098492586,0.8755950357709131,1.4181364924121764,0.816496580927726,0.7559289460184544,0.7071067811865476,0.3162277660168379,1.3165611772087666,0.0,0.31622776601683794,0.3333333333333334,0.3333333333333333,0.9486832980505138,0.0,0.31622776601683794,0.3535533905932738,0.0,0.31622776601683794,0.5163977794943222,1.6633299933166197,1.1352924243950933,0.6992058987801011,0.6324555320336758,2.836272984824353,1.4944341180973264,1.0,1.8644544714716085,1.224744871391589,0.5477225575051662,0.0,0.7559289460184545,0.0,0.0,2.1278575558006176,1.864454471471609,0.881917103688197,0.0,0.0,0.0,1.0954451150103321,1.2292725943057183,0.9189365834726815,0.9944289260117533,0.8755950357709131,1.1126972805283735,1.2516655570345725,1.1972189997378646,0.3535533905932738,0.37796447300922725,0.8432740427115679,0.0,1.3165611772087666,0.6324555320336759,0.31622776601683794,1.66332999331662,0.0,0.9718253158075502,0.7071067811865476,0.6324555320336759,0.42163702135578396,0.7378647873726218,0.9486832980505138,0.5676462121975469,0.9486832980505138,1.429840705968481,1.1005049346146119
