think: 3
bread: 7
clown: 4
is: N
take: 7
water: 7
please: 4
his: N
before: N
french fries: 7
yes: N
coffee: 7
pants: 7
pretty: N
night: N
bus: 7
potato chip: 7
squirrel: 4
so big: N
are: N
chin: 7
telephone: 7
time: N
rooster: 4
it: N
cheerio: 7
talk: 7
cracker: 7
pick: 7
beach: 7
want to: N
fit: 7
drink: 7
share: 7
which: N
button: 7
find: 7
splash: 7
giraffe: 4
day: N
woof woof: 4
lemme: N
melon: 7
pickle: 7
vagina: 4
put: 7
zoo: 7
lamp: 7
sauce: 7
pencil: 7
tiny: N
rain: N
like: N
next to: N
bead: 7
teacher: 4
ant: 4
call: 7
pretend: N
me: N
circus: 7
buttocks: 4
girl: 4
mad: N
milk: 7
draw: 7
pen: 7
puppy: 4
hair: 7
light: 7
grape: 7
black: N
crib: 7
snowsuit: 7
you: N
soda: 7
story: N
going to: N
brother: 4
wind: N
key: 7
thirsty: N
our: N
into: N
daddy: 4
park: 7
play: 7
pajamas: 7
nose: 7
stop: 7
gonna get you: N
lion: 4
hide: 7
buy: 7
boo boo: 4
carrot: 7
mommy: 4
tickle: 7
donut: 7
money: 7
shoulder: 7
rip: 7
long: N
chase: 7
blow: 7
jar: 7
did ya: N
he: N
police: 7
downtown: N
slipper: 7
each: N
hit: 7
woods: 7
wolf: 4
church: 7
new: N
cookie: 7
flower: 7
then: N
snowman: 7
salt: 7
coke: 7
slow: N
little: N
stove: 7
nut: 7
radio: 7
nurse: 7
noisy: N
playground: 7
down: N
those: N
sun: N
egg: 7
quiet: N
roof: 2
helicopter: 4
she: N
drawer: 7
basket: 7
blanket: 7
napkin: 7
book: 7
too: N
fireman: 7
tricycle: 7
scissors: 7
touch: 7
break: 7
finger: 7
cloud: N
cowboy: 7
listen: 7
tomorrow: N
build: 7
ice: 7
peanut butter: 7
fork: 7
duck: 4
run: 7
pig: 4
pea: 7
frog: 4
boy: 4
my: N
paper: 7
hard: N
last: N
tongue: 7
brush: 7
lollipop: 7
belly button: 7
yellow: N
white: N
elephant: 4
pancake: 7
plant: 7
potato: 7
shower: 7
full: N
windy: N
bite: 7
turkey: 7
mouse: 4
wipe: 7
pool: 7
need: 7
bee: 4
uh oh: N
pattycake: 7
aunt: 4
but: N
tape: 7
chair: 7
clap: 7
yourself: N
cry: 7
bad: N
shh: N
broom: 7
throw: 7
child: 4
we: N
glue: 7
bed: 7
backyard: 7
toy: 7
push: 7
box: 7
teddybear: 7
tree: 7
read: 7
popcorn: 7
bib: 7
let me: N
boat: 7
knock: 7
hug: 7
red: N
green: N
go potty: 7
airplane: 4
shopping: 7
same: N
sleepy: N
breakfast: 7
hurt: 7
kick: 7
pull: 7
their: N
can: N
noodle: 7
dog: 4
clean: 7
tights: 7
shorts: 7
picnic: 7
car: 7
nail: 7
her: N
water: 7
bedroom: 7
knee: 7
of: N
diaper: 7
plate: 7
they: N
boots: 7
door: 7
wanna: N
this: N
gum: 7
babysitter's name: N
lunch: 7
on: N
house: 7
under: N
a: N
work: 7
zebra: 4
heavy: N
dryer: 7
necklace: 7
farm: 7
finish: 7
room: 7
deer: 4
morning: N
not: N
bug: 4
ride: 7
towel: 7
cut: 7
apple: 7
snow: N
grandpa: 4
around: N
hurry: N
camera: 7
window: 7
who: N
hush: N
doctor: 7
foot: 7
because: N
dance: 7
train: 7
look: 7
bat: 4
soft: N
out: N
now: N
bear: 4
up: N
be: N
school: 7
sticky: N
grandma: 4
popsicle: 7
fish: 4
underpants: 7
glasses: 7
more: N
corn: 7
couch: 7
stone: 7
peekaboo: 7
did: N
no: N
picture: 7
climb: 7
baby: 4
penis: 4
back: 7
present: 7
jello: 7
cereal: 7
jeans: 7
hi: N
ear: 7
off: 7
today: N
butter: 7
star: N
bathroom: 7
pretzel: 7
try to: N
living room: 7
bicycle: 7
pet's name: N
applesauce: 7
dark: N
get: 7
potty: 7
pudding: 7
lady: 4
stairs: 7
where: N
friend: 4
cow: 4
hat: 7
other: N
movie: 7
sky: N
on top of: N
orange: 7
feed: 7
penny: 7
this little piggy: 7
street: 7
brown: N
bathtub: 7
cheese: 7
cute: N
hot: N
what: N
banana: 7
owie: N
grrr: N
pour: 7
gas station: 7
fix: 7
another: N
were: N
soup: 7
nap: N
bunny: 4
country: N
fast: N
basement: 7
grass: 7
rock: 7
man: 4
smile: 7
eye: 7
sleep: N
none: N
head: 7
