Here are my ratings for how much I experience everyday concepts using actions from my hand/arm:

paint: 4
bubble: 0
sock: 0
slipper: 0
don't: N
bench: 0
bottom: 0
wolf: 0
pajamas: 0
love: 0
gotta: N
asleep: 0
corn: 0
mad: 0
bib: 0
kleenex: 2
telephone: 2
owie: 0
cut: 2
penis: N
paper: 2
ear: 0
going to: N
banana: 0
fork: 2
skate: 0
today: N
pudding: 0
smile: 0
penguin: 0
finish: N
give: 2
sandbox: 0
behind: N
glass: 0
hen: 0
any: N
help: 2
bead: 0
close: 2
sofa: 0
with: N
train: 0
water (beverage): 0
fireman: 0
hat: 0
brown: 0
this little piggy: 2
milk: 0
arm: 5
his: N
home: 0
garbage: 0
tractor: 0
happy: 0
orange (description): 0
old: 0
they: N
stone: 0
tights: 0
would: N
block: 0
soup: 0
present: 0
pants: 0
rip: 2
dark: 0
balloon: 0
crayon: 2
brush: 2
there: N
that: N
sweater: 0
break: 2
see: 0
off: 2
jar: 0
because: N
and: N
box: 0
hard: 0
lady: 0
glove: 0
clock: 0
hafta: N
buy: 0
sweep: 0
here: N
soap: 0
boo boo: 2
tricycle: 0
jeans: 0
make: 2
careful: 0
bean: 0
night: 0
clap: 2
sun: 0
green beans: 0
myself: N
poor: 0
uh oh: 0
face: 0
vagina: N
slide (object): 0
TV: 0
ladder: 0
all gone: 0
give me five: 2
egg: 0
picnic: 0
on top of: N
donut: 0
stove: 0
giraffe: 0
our: N
mop: 0
hold: 2
pen: 2
bad: 0
this: N
another: N
go: 0
back: 0
country: 0
yogurt: 0
button: 0
later: N
yum yum: 0
lunch: 0
too: N
splash: 0
get: 2
bowl: 0
man: 0
animal: 0
last: N
ride: 0
pour: 2
think: 0
zoo: 0
clean (action): 2
clean (description): 0
chalk: 0
oven: 0
gonna: N
napkin: 0
juice: 0
stay: 0
butter: 0
loud: 0
drink (action): 2
hair: 0
windy: 0
pretzel: 0
truck: 0
them: N
boy: 0
slow: 0
fix: 2
when: N
fit: 0
eat: 0
garage: 0
clown: 0
park: 0
stick: 0
grrr: 0
he: N
bathtub: 0
babysitter: 0
drawer: 0
sing: 0
school: 0
swing (object): 0
hose: 0
towel: 0
could: N
put: 2
build: 0
hammer: 0
