Here is the list of words with their corresponding body-object interaction ratings:

banana: 6
sneaker: 7
lion: N
cook: N
shirt: 7
orange (food): 7
egg: 7
vagina: N
chicken (animal): N
sandwich: 7
fit: N
thank you: N
next to: N
no: N
police: N
put: 7
leg: 7
frog: N
stuck: N
choo choo: N
ride: 7
ladder: 7
truck: 7
bear: N
movie: N
pretty: N
ankle: 7
did: N
yard: N
cry: N
rain: N
boots: 7
rocking chair: 7
pen: 7
tricycle: 7
sing: N
stone: N
love: N
raisin: N
toe: 7
knee: 7
before: N
cold: N
us: N
brown: N
chase: N
better: N
bug: N
garden: N
drink (beverage): 7
jump: 7
radio: N
help: N
glass: 7
sprinkler: 7
bowl: 7
fish (food): 7
noisy: N
am: N
look: N
puzzle: N
hello: N
garage: N
kitchen: N
bench: 7
plate: 7
her: N
pretend: N
fine: N
how: N
doll: N
sick: N
child: N
airplane: N
what: N
zoo: N
do: N
money: N
farm: N
mailman: N
closet: N
slow: N
garbage: N
inside: N
pattycake: N
zipper: N
like: N
sticky: N
tape: N
slide (object): 7
down: N
where: N
mommy: N
night night: N
pancake: N
paper: N
spoon: 7
person: N
salt: N
shower: 7
find: 7
fall: 7
share: 7
scarf: 7
empty: N
could: N
same: N
goose: N
yes: N
lick: N
circus: N
hard: N
some: N
out: N
high: N
cloud: N
bee: N
mop: 7
ice: N
cut: 7
think: N
woof woof: N
diaper: N
grrr: N
work (place): N
motorcycle: 7
wipe: 7
red: N
animal: N
teacher: N
mouse: N
school: N
tractor: N
block: N
telephone: N
taste: N
green beans: 7
water (not beverage): 7
pour: 7
glasses: 7
draw: N
bib: N
woods: N
dryer: N
pea: N
juice: N
penny: N
bottle: 7
swim: 7
shopping: N
cute: N
alligator: N
too: N
finger: 7
finish: 7
hold: 7
coffee: 7
melon: N
good: N
vitamins: N
all gone: N
have: N
washing machine: 7
thirsty: N
comb: N
living room: N
tights: N
bath: N
gonna: N
popcorn: N
knife: 7
yesterday: N
pudding: N
shoulder: 7
get: 7
firetruck: 7
careful: N
an: N
jacket: 7
breakfast: N
pick: 7
full: 7
house: N
lamp: N
gonna get you: N
dirty: N
peanut butter: N
bus: 7
dinner: N
doctor: N
slide (action): N
coat: 7
table: N
