Here are the ratings for smelling:

plant: 5
grandma: N
giraffe: N
scissors: 0
green beans: 4
ant: N
picnic: 4
meat: 4
choo choo: N
tiger: N
sun: N
brother: N
cookie: 4
glue: 0
house: N
duck: N
owie: N
story: N
truck: N
foot: N
tissue: 0
run: N
home: N
moon: N
chalk: 0
open: N
cover: N
fast: N
play: N
chair: N
after: N
by: N
pull: N
yesterday: N
give me five: N
underpants: N
broom: 0
play pen: N
our: N
lion: N
mouth: N
squirrel: N
off: N
drawer: N
knife: N
her: N
gas station: 4
crayon: 0
stroller: N
turtle: N
nice: N
see: N
lawn mower: 4
dump: N
every: N
hard: N
hot: N
before: N
look: N
roof: N
box: N
head: N
blow: N
slide (action): N
tickle: N
bug: N
all gone: N
pour: N
airplane: N
teddybear: N
street: N
wipe: N
mouse: N
gotta: N
day: N
stone: N
walker: N
circus: N
salt: 4
bird: N
work (action): N
friend: N
read: N
share: N
spill: N
bed: N
telephone: N
basket: N
pumpkin: 4
puppy: N
what: N
motorcycle: N
cheek: N
swing (action): N
hungry: N
dryer: N
talk: N
nut: N
mop: 0
sauce: 4
cat: N
smile: N
boy: N
kitty: N
chase: N
cowboy: N
doll: N
much: N
pool: N
jar: N
into: N
coffee: 4
farm: N
blanket: N
was: N
yard: N
say: N
hate: N
hose: N
penny: N
did ya: N
pants: N
jacket: N
cloud: N
horse: N
asleep: N
need to: N
catch: N
bead: N
snowman: N
orange (description): N
skate: N
break: N
throw: N
alligator: N
diaper: N
fine: N
purse: N
hit: N
tape: N
button: N
aunt: N
game: N
butter: 4
sit: N
train: N
wish: N
stick: N
party: N
all: N
couch: N
nurse: N
but: N
for: N
bear: N
key: N
paper: N
ouch: N
room: N
bat: N
please: N
hide: N
snow: N
daddy: N
corn: N
try to: N
chin: N
shh: N
get: N
closet: N
bath: N
bean: N
if: N
behind: N
shoulder: N
drink (action): N
jello: 4
uncle: N
could: N
camera: N
cute: N
pillow: N
bathroom: N
climb: N
fish (food): 4
carry: N
toe: N
lady: N
eye: N
with: N
find: N
big: N
at: N
bring: N
spoon: N
buy: N
hair: N
sleep: N
like: N
awake: N
draw: N
have: N
pickle: 4
light: N
shoe: N
sock: N
any: N
mailman: N
shirt: N
cheerio: N
down: N
and: N
green: N
tongue: N
cereal: N
us: N
backyard: N
wait: N
banana: 4
child: N
sweater: N
baa baa: N
rooster: N
scarf: N
when: N
camping: N
drink (beverage): N
write: N
pattycake: N
dish: N
clean (description): N
coke: 4
egg: 4
bowl: N
make: N
sink: N
radio: N
close: N
man: N
muffin: 4
dark: N
wake: N
doctor: N
windy: N
fork: N
donkey: N
bite: N
stay: N
mommy: N
grrr: N
popcorn: 4
he: N
buttocks: N
fall: N
flag: N
his: N
red: N
on top of: N
garbage: N
morning: N
person: N
pick: N
paint: N
is: N
would: N
too: N
playground: N
full: N
grape: 4
splash: N
butterfly: N
tractor: N
grass: N
noodle: N
watch (object): N
dirty: N
woods: N
I: N
potato: 4
hurry: N
quack quack: N
hafta: N
sidewalk: N
show: N
belly button: N
yes: N
water (beverage): N
zebra: N
frog: N
inside: N
chocolate: 4
lunch: N
time: N
does: N
nail: N
bicycle: N
firetruck: N
go: N
bathtub: N
so big: N
bedroom: N
same: N
this little piggy: N
tummy: N
them: N
other: N
mitten: N
monkey: N
child's own name: N
later: N
ladder: N
mad: N
careful: N
that: N
glove: N
milk: 4
yogurt: 4
park: N
car: N
feed: N
rain: N
am: N
poor: N
work (place): N
sweep: N
slide (object): N
under: N
boots: N
turkey: N
walk: N
wash: N
knock: N
grandpa: N
thirsty: N
drop: N
can (object): N
shovel: N
bubble: N
refrigerator: N
think: N
meow: N
want to: N
loud: N
first: N
watch (action): N
moo: N
raisin: 4
wanna: N
popsicle: 4
tonight: N
call: N
of: N
chicken (animal): N
over: N
living room: N
shower: N
door: N
lemme: N
rocking chair: N
clock: N
there: N
swing (object): N
stand: N
juice: N
pencil: N
boo boo: N
animal: N
cry: N
because: N
try: N
coat: N
then: N
napkin: N
dinner: N
hold: N
stop: N
tear: N
empty: N
hand: N
face: N
ice: N
high: N
night: N
hat: N
donut: 4
bee: N
sled: N
hi: N
cracker: N
bottom: N
can (auxiliary): N
downtown: N
zoo: N
why: N
bump: N
dry (description): N
cake: 4
now: N
give: N
present: N
myself: N
babysitter: N
naughty: N
leg: N
soda: 4
cook: N
tuna: 4
moose: N
broken: N
black: N
a: N
little: N
water (not beverage): N
toothbrush: N
next to: N
quiet: N
kleenex: N
