Here are the ratings for tasting:

at: 0
cook: 3
egg: 5
tomorrow: N
yourself: N
man: N
mailman: N
full: N
daddy: N
tonight: N
cut: N
sleepy: N
sit: N
cow: N
rain: N
nose: N
knock: N
so big: N
them: N
underpants: N
people: N
tractor: N
try to: N
grandma: N
sky: N
hug: N
empty: N
aunt: N
popcorn: 5
sheep: N
uh oh: N
car: N
morning: N
all: N
bicycle: N
sweep: N
cheek: N
taste: 5
backyard: N
bunny: N
yes: N
scissors: N
broken: N
catch: N
to: N
shirt: N
of: N
box: N
back: N
snow: N
swim: N
be: N
firetruck: N
friend: N
slow: N
and: N
uncle: N
fall: N
draw: N
boat: N
pencil: N
dish: N
kitty: N
skate: N
gotta: N
hate: N
ball: N
owl: N
bee: N
when: N
asleep: N
hose: N
baa baa: N
corn: 5
coffee: 5
bubble: N
roof: N
buy: N
train: N
tights: N
hard: N
you: N
camera: N
couch: N
diaper: N
strawberry: 5
drive: N
puzzle: N
talk: N
ear: N
story: N
purse: N
animal: N
did ya: N
soft: N
button: N
thank you: N
butter: 5
no: N
wake: N
bathtub: N
ice cream: 5
tiger: N
helicopter: N
shoe: N
trash: N
pickle: 5
rock: N
police: N
house: N
french fries: 5
light: N
wait: N
if: N
hello: N
belly button: N
over: N
crayon: N
long: N
juice: 5
how: N
sad: N
street: N
jello: N
love: N
sink: N
truck: N
vacuum: N
too: N
horse: N
read: N
pudding: 5
have to: N
more: N
dry (action): N
jelly: N
play dough: N
sing: N
naughty: N
say: N
drink (beverage): N
bird: N
go: N
first: N
mommy: N
puppy: N
does: N
watch (object): N
lady: N
yum yum: N
applesauce: 5
call: N
stand: N
spaghetti: 5
work (action): N
outside: N
black: N
these: N
hurry: N
lollipop: N
teddybear: N
giraffe: N
pillow: N
drop: N
gas station: N
got to: N
next to: N
there: N
kick: N
ice: N
poor: N
teacher: N
carrot: N
sprinkler: N
store: N
fork: N
bathroom: N
grandpa: N
motorcycle: N
finish: N
hide: N
bite: N
popsicle: 5
break: N
loud: N
in: N
downtown: N
boy: N
another: N
build: N
bean: N
tooth: N
some: N
fish (animal): N
his: N
zoo: N
boo boo: N
beside: N
like: N
picture: N
have: N
splash: N
bottom: N
coat: N
hear: N
any: N
time: N
cookie: 5
take: N
soup: N
babysitter's name: N
wind: N
jacket: N
yucky: N
pen: N
