seq1,seq2,item_id,category1,category2,item_definition,uni_lemma,word_1,word_2,word_3,word_for_llm,irregular,note,AoA,concreteness,iconicity,childBOI,adultBOI,Auditory,Gustatory,Haptic,Interoceptive,Olfactory,Visual,Foot_leg,Hand_arm,Head,Mouth,Torso,phoneme,socialness,semD,valence,arousal,valence2,arousal2,dominance,imageability,babiness,frequency,mlu,contextD,word_used,prop50.1,prop50.2,prop50.3,prop50.4,prop50.5,prop40.1,prop40.2,prop40.3,prop40.4,prop40.5,prop30.1,prop30.2,prop30.3,prop30.4,prop30.5,prop20.1,prop20.2,prop20.3,prop20.4,prop20.5,prop10.1,prop10.2,prop10.3,prop10.4,prop10.5
4,5,item_5,sounds,other,meow,meow,meow,,,meow,FALSE,,17,3.92,5.8,3.379310345,1.608695652,4.75,0.15,0.4,0.5,0.1,1.6,0.095238095,0.19047619,2.904761905,1.619047619,0.095238095,3,,,6.14,3.42,3.86,6.58,5.75,,1.818181818,1833.350027,2.322641509,111,meow,training,training,training,training,training,test,training,test,test,training,test,test,test,test,training,test,test,test,test,training,test,test,test,test,training
12,13,item_13,animals,nouns,alligator,alligator,alligator,,,alligator,FALSE,,26,4.96,3.545454545,3.553191489,3.608695652,2.375,1.1875,1.875,0.5,0.5,4.8125,0.631578947,1.315789474,2.315789474,1,0.526315789,7,1.541666667,1.722762066,4.23,5.36,5.77,4.64,4.1,,1.307692308,1167.055387,6.025974026,174,alligator,test,training,test,test,test,training,training,training,test,test,test,training,test,test,test,training,test,training,test,test,training,test,test,test,test
13,14,item_14,animals,nouns,animal,animal,animal,,,animal,FALSE,,25,4.61,3.083333333,6.155555556,5.958333333,3.444444444,1.111111111,3.277777778,0.333333333,2.055555556,4.555555556,1.25,3.1,3.45,1.3,1.45,6,,1.543048194,7.06,4.3,2.94,5.7,5.72,,4.888888889,1662.181589,9.493670886,414,animal,test,training,training,training,test,test,test,training,training,test,test,training,training,test,test,test,test,test,test,test,test,test,test,training,test
14,15,item_15,animals,nouns,ant,ant,ant,,,ant,FALSE,,26,4.86,4.363636364,5.785714286,4.84,0.466666667,0.133333333,2.133333333,0.133333333,0.466666667,4.266666667,0.842105263,1.368421053,2.263157895,0.263157895,0.421052632,3,1.791666667,1.587603793,3.9,3.27,6.1,6.73,5.3,6.7,1.6,1807.806964,7.039473684,96,ant,training,training,test,test,training,training,test,training,training,test,test,test,test,training,training,test,test,test,test,test,test,test,test,test,test
15,16,item_16,animals,nouns,bear,bear,bear,,,bear,FALSE,,20,4.88,3.909090909,4.25,3.608695652,3.263157895,0.368421053,1.526315789,0.368421053,0.631578947,4.315789474,1.142857143,1.142857143,2.285714286,1.047619048,0.952380952,3,,2.114082007,5.33,4.5,4.67,5.5,3.59,6.7,4.8,2252.984496,6.464616886,861,bear,test,test,training,training,test,test,test,test,test,test,test,test,test,test,test,test,training,training,test,test,test,training,test,test,test
16,17,item_17,animals,nouns,bee,bee,bee,,,bee,FALSE,,22,4.88,4.5,5.382352941,4.130434783,2.777777778,0,0.611111111,0.277777778,0,4.5,0.818181818,2,2.5,0.545454545,0.818181818,2,,1.676439732,3.68,5.65,6.32,4.35,5.32,6.9,1.8,3339.037632,5.587281796,401,bee,training,test,training,training,test,training,test,test,test,training,test,test,training,test,test,test,test,training,test,test,test,test,test,training,test
17,18,item_18,animals,nouns,bird,bird,bird,,,bird,FALSE,,18,5,3.4,5.038461538,4.896551724,3.68,0.8,1.4,0.16,0.8,4.12,0.375,1.583333333,3.375,0.541666667,0.291666667,3,,1.413166294,6.75,3.83,3.25,6.17,5.88,6.4,2.375,3514.69039,6.103673469,604,bird,test,training,test,test,test,test,training,test,test,test,test,test,training,training,training,test,test,test,test,test,test,test,training,test,test
18,19,item_19,animals,nouns,bug,bug,bug,,,bug,FALSE,,23,5,4.272727273,5.59375,5.296296296,2.19047619,0.571428571,2.571428571,0.333333333,0.238095238,4.19047619,1.421052632,2.210526316,2.421052632,1.105263158,0.631578947,3,,1.842357253,3.45,6.06,6.55,3.94,4.08,6.7,3.076923077,1809.200997,5.8033241,267,bug,training,training,test,training,training,training,test,test,test,test,training,test,training,test,training,test,training,test,test,training,test,test,training,test,test
19,20,item_20,animals,nouns,bunny,bunny,bunny,,,bunny,FALSE,,22,4.97,3.5,5.653846154,4.5,1.6,0.5,3.2,0.3,1.1,4.6,0.526315789,2.105263158,3.315789474,0.210526316,0.263157895,4,,1.323820735,7.3,3.86,2.7,6.14,5.78,,2.8,2813.389816,5.430686406,586,bunny,test,test,training,test,training,training,training,training,training,test,training,test,test,training,training,test,test,test,test,training,test,test,test,test,test
21,22,item_22,animals,nouns,cat,cat,cat,,,cat,FALSE,,18,4.86,5.3,6.111111111,5.913043478,3.526315789,0.263157895,3.631578947,0.105263158,1.578947368,4.789473684,1.052631579,2.842105263,2.842105263,0.578947368,1.473684211,3,,1.607647081,6.95,4.5,3.05,5.5,5.48,6.5,2,1898.524303,6.615518745,595,cat,test,training,test,training,test,test,test,test,test,test,test,test,test,test,training,test,test,training,training,training,training,test,test,test,test
23,24,item_24,animals,nouns,cow,cow,cow,,,cow,FALSE,,21,4.96,5.2,4.96969697,5.434782609,2.75,1.25,2.15,0.45,2.4,3.95,0.285714286,1.761904762,2,0.857142857,0.428571429,2,,1.457678265,5.42,2.95,4.58,7.05,5.24,6.8,2.2,2328.285442,5.654825737,475,cow,training,training,test,training,training,test,training,training,test,training,test,training,training,test,test,test,test,test,training,test,test,training,test,test,test
24,25,item_25,animals,nouns,deer,deer,deer,,,deer,FALSE,,27,4.86,3.5,3.956521739,4.416666667,1.842105263,0.684210526,1.052631579,0.263157895,0.842105263,4.368421053,0.222222222,0.666666667,1.055555556,0.166666667,0.111111111,3,,1.322381342,6.89,3.95,3.11,6.05,4.89,6.7,2.071428571,1902.561046,5.648484848,155,deer,test,test,training,training,test,test,training,training,test,training,training,training,training,test,test,test,training,test,test,test,test,test,test,test,test
25,26,item_26,animals,nouns,dog,dog,dog,,,dog,FALSE,,16,4.85,2.5,6.511111111,6.4,4.117647059,0.588235294,3.823529412,0.647058824,2.823529412,4.588235294,1,3.631578947,2.947368421,1.157894737,1,3,,1.263009001,7,5.43,3,4.57,5.73,6.9,3.1,2954.234816,6.565139798,820,dog,training,test,training,training,test,test,training,test,training,test,test,training,test,test,test,test,training,test,test,test,test,test,test,test,test
26,27,item_27,animals,nouns,donkey,donkey,donkey,,,donkey,FALSE,,29,5,3.7,5.057142857,4.826086957,3.6,0.25,2.25,0.05,2.5,4.5,0.714285714,1.380952381,1.80952381,0.571428571,0.619047619,5,2.086956522,1.687263993,6.29,2.9,3.71,7.1,5.12,,1,1630.648864,5.964912281,233,donkey,test,training,training,test,test,training,training,test,test,training,test,training,training,test,test,training,test,training,test,test,test,test,test,training,test
27,28,item_28,animals,nouns,duck,duck,duck,,,duck,FALSE,,18,4.86,4.7,5.111111111,5.041666667,3.315789474,2.263157895,2.052631579,0.315789474,0.789473684,4.421052632,1.142857143,1.380952381,2.666666667,0.666666667,1.380952381,3,,1.747974916,6.11,4,3.89,6,5.3,6.5,4.1,2667.77205,5.313713212,529,duck,training,training,training,training,test,test,test,training,test,test,test,test,training,test,test,test,test,test,test,test,test,test,test,test,test
28,29,item_29,animals,nouns,elephant,elephant,elephant,,,elephant,FALSE,,23,5,4.4,3.642857143,4.36,3.35,0,1.95,0.55,1.95,4.35,0.428571429,0.761904762,2.047619048,0.285714286,0.19047619,7,2.047619048,1.564297933,6.17,4.23,3.83,5.77,4.23,,2.818181818,1783.708656,5.751733703,440,elephant,test,training,test,test,training,test,test,test,training,training,test,test,training,test,test,test,test,test,test,test,test,test,test,test,test
31,32,item_32,animals,nouns,giraffe,giraffe,giraffe,,,giraffe,FALSE,,25,4.73,3.583333333,3.56,4,1.555555556,0,1.055555556,0.222222222,1.222222222,4.222222222,0.222222222,0.722222222,2.888888889,0.166666667,0.222222222,4,1.347826087,1.441786171,6.52,2.91,3.48,7.09,5.27,,4.5,1916.628291,5.413793103,189,giraffe,test,training,test,test,test,test,training,training,test,test,training,test,test,test,test,test,test,test,training,test,training,test,test,test,test
32,33,item_33,animals,nouns,goose,goose,goose,,,goose,FALSE,,28,4.81,4.5,3.59375,5.260869565,3.526315789,1.631578947,1.631578947,0.210526316,1.210526316,4.105263158,0,1.45,2.7,0.8,0.35,3,1.818181818,1.739590304,5.68,3.29,4.32,6.71,4.76,6.9,3.416666667,1888.680504,5.589552239,187,goose,test,training,training,test,training,test,test,test,test,training,test,test,training,training,test,test,test,test,test,test,test,test,test,training,test
33,34,item_34,animals,nouns,hen,hen,hen,,,hen,FALSE,,,4.9,3.272727273,4.666666667,4.652173913,2.944444444,1.333333333,1.944444444,0.555555556,1.5,4.222222222,0.75,1.65,2,0.8,0.35,3,,1.617068606,6.14,3.39,3.86,6.61,5.39,6.4,2.076923077,1163.468569,8.301204819,108,hen,training,test,training,training,test,test,training,test,training,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
34,35,item_35,animals,nouns,horse,horse,horse,,,horse,FALSE,,22,5,2.3,5.40625,5.88,3.294117647,0.235294118,3.411764706,0.176470588,1.588235294,4.647058824,2.7,3.1,2.45,1.05,1.85,4,,1.288051277,6.05,4.16,3.95,5.84,5.71,,2,2105.36198,6.723469388,497,horse,training,training,training,training,training,test,test,training,test,training,test,test,test,training,training,test,test,test,test,training,training,test,test,test,training
36,37,item_37,animals,nouns,lamb,lamb,lamb,,,lamb,FALSE,,28,4.97,3.636363636,5.24,4.444444444,2.941176471,2.941176471,2.294117647,0.176470588,2.294117647,4.294117647,0.3,1.5,1.95,1.85,0.65,3,,1.546425991,6.3,3.32,3.7,6.68,5.72,6.6,5,1629.719693,6.748484848,226,lamb,training,test,training,training,training,test,training,test,test,test,test,test,test,test,test,test,test,training,test,test,training,test,test,test,test
37,38,item_38,animals,nouns,lion,lion,lion,,,lion,FALSE,,24,4.96,3.25,3.703703704,3.416666667,3.882352941,0.470588235,1.823529412,0.941176471,0.941176471,4.823529412,0.285714286,0.571428571,2.714285714,0.428571429,0.238095238,4,,1.798312405,5.84,5.29,4.16,4.71,4.86,,2.25,2519.435745,5.416334661,297,lion,test,test,test,test,test,training,test,test,test,test,test,test,training,test,training,test,test,test,test,training,test,test,test,test,test
38,39,item_39,animals,nouns,monkey,monkey,monkey,,,monkey,FALSE,,22,4.9,4.090909091,3.53125,4.259259259,2.80952381,0,1.380952381,0.047619048,1.333333333,3.80952381,0.5,1.5,2.35,0.2,0.3,5,2.28,1.698991628,5.82,5.15,4.18,4.85,5.74,,2.230769231,2090.645712,5.65470852,394,monkey,training,training,test,test,training,test,test,test,training,test,training,test,test,test,training,test,test,test,test,training,test,test,test,test,training
39,40,item_40,animals,nouns,moose,moose,moose,,,moose,FALSE,,29,4.97,3.272727273,2.916666667,3.916666667,2.1875,0.3125,1,0.3125,0.875,4.0625,0.05,0.75,1.95,0.15,0.25,3,,1.220637384,6.71,4.85,3.29,5.15,4.97,6.7,2,1585.20993,5.965986395,142,moose,training,training,test,test,test,test,test,test,test,test,training,training,test,test,test,test,training,test,training,test,test,test,test,test,test
40,41,item_41,animals,nouns,mouse,mouse,mouse,,,mouse,FALSE,,24,4.83,4.583333333,5.346153846,5.24,2.743589744,0.051282051,1.743589744,0.282051282,0.692307692,4.076923077,0.142857143,1.857142857,1.619047619,0.142857143,0.142857143,3,,1.396373244,4.8,3.38,5.2,6.62,4.29,,1.818181818,1911.132861,6.399260628,372,mouse,training,test,test,training,test,test,training,test,test,test,test,test,test,test,test,test,test,test,training,test,test,test,test,test,test
41,42,item_42,animals,nouns,owl,owl,owl,,,owl,FALSE,,24,4.93,3.615384615,4.444444444,3.791666667,3.941176471,0.058823529,1.058823529,0.058823529,0.294117647,4.647058824,0,0.722222222,3.222222222,0.277777778,0,2,,0.994494352,6.3,3.57,3.7,6.43,5.02,6.5,2.416666667,1329.609938,6.18907563,175,owl,training,training,test,training,test,training,test,training,test,test,training,test,test,training,training,test,test,test,training,training,test,test,test,test,training
42,43,item_43,animals,nouns,penguin,penguin,penguin,,,penguin,FALSE,,27,5,2.2,3.888888889,4.12,1.9,0,1.6,0,0.45,4.45,0.380952381,1,2.952380952,0.333333333,0.428571429,7,,1.177646038,6.65,4,3.35,6,4.86,,1.3,2336.448618,5.231788079,169,penguin,test,training,test,training,test,test,training,test,training,test,test,training,training,test,test,test,training,test,test,test,test,training,test,training,test
43,44,item_44,animals,nouns,pig,pig,pig,,,pig,FALSE,,22,5,3.818181818,5.074074074,4.56,2.75,1.9375,1.25,0.25,2.25,3.75,0.578947368,1.052631579,1.894736842,1.631578947,0.578947368,3,,1.695064215,4.83,3.68,5.17,6.32,5.04,6.8,1.416666667,2138.109905,5.947995666,452,pig,training,test,test,training,training,test,test,training,test,training,test,test,test,test,test,test,training,training,training,test,test,test,test,test,test
44,45,item_45,animals,nouns,pony,pony,pony,,,pony,FALSE,,28,4.9,2.8,5.260869565,5.375,1.789473684,0.157894737,2.105263158,0.210526316,1.105263158,3.526315789,1.65,1.95,2.35,0.5,1.1,4,,1.243115958,6.71,4.29,3.29,5.71,5.9,,3,999.3277427,7.546391753,163,pony,test,training,test,training,training,test,training,test,training,training,training,test,training,test,test,test,test,test,test,test,test,test,test,test,test
45,46,item_46,animals,nouns,puppy,puppy,puppy,,,puppy,FALSE,,22,4.78,3.3,5.777777778,6.25,3.4,0.2,3.95,0.8,2.35,4.55,1.8,3.9,3.35,1.05,1.85,4,,0.9319687,7.85,5.84,2.15,4.16,6.24,,4.25,2529.279126,5.539779682,442,puppy,test,test,test,test,test,test,test,training,training,training,test,test,test,test,test,test,test,test,training,test,test,test,test,test,test
46,47,item_47,animals,nouns,rooster,rooster,rooster,,,rooster,FALSE,,28,4.75,4.111111111,3.8,3.909090909,3.705882353,0.235294118,1.117647059,0.058823529,0.647058824,4.294117647,0.235294118,1.117647059,2.941176471,0.352941176,0.294117647,5,1.863636364,,5.53,4.57,4.47,5.43,5.09,,1.5,1890.04931,4.728434505,184,rooster,training,test,test,training,training,test,test,test,test,training,training,test,training,test,test,test,training,test,test,test,test,test,test,test,test
47,48,item_48,animals,nouns,sheep,sheep,sheep,,,sheep,FALSE,,24,4.9,3.222222222,4.24,4.5,3.473684211,0.315789474,2.105263158,0.105263158,1.263157895,4.105263158,0.55,2.05,2.7,0.5,0.6,3,,1.4131912,5.32,2.95,4.68,7.05,4.42,6.8,3.4,2533.940029,5.400211193,398,sheep,test,test,training,test,training,training,training,training,test,test,test,test,test,test,test,training,training,test,test,test,test,test,test,test,test
48,49,item_49,animals,nouns,squirrel,squirrel,squirrel,,,squirrel,FALSE,,26,4.89,4.4,4.464285714,4.346153846,2.285714286,0.2,1.342857143,0.057142857,0.142857143,4.342857143,0.619047619,1.095238095,2.619047619,1.047619048,0.761904762,6,1.9,1.391835298,5.71,4.48,4.29,5.52,5.62,,1.5,1538.477106,5.611111111,155,squirrel,test,test,training,test,training,training,training,training,test,training,training,training,training,test,training,test,test,test,test,training,test,training,test,test,training
50,51,item_51,animals,nouns,tiger,tiger,tiger,,,tiger,FALSE,,24,5,4,4.24137931,3.869448183,2.764705882,0,1.294117647,0.411764706,0.529411765,4.470588235,0.55,0.95,2.8,0.65,0.35,4,1.375,1.655378415,6,5.55,4,4.45,4.4,,2,2153.546831,5.314893617,219,tiger,test,test,test,training,training,training,training,training,test,training,test,test,test,test,test,test,test,test,training,test,test,test,test,test,test
