Here are the body-object interaction ratings:

at: 5
cook: 6
egg: 4
tomorrow: N
yourself: N
man: 6
mailman: 6
full: 3
daddy: 6
tonight: N
cut: 6
sleepy: N
sit: 6
cow: 4
rain: N
nose: 2
knock: 6
so big: N
them: N
underpants: 4
people: N
tractor: 6
try to: N
grandma: N
sky: N
hug: 6
empty: 3
aunt: N
popcorn: 4
sheep: 4
uh oh: N
car: 6
morning: N
all: N
bicycle: 6
sweep: 6
cheek: 2
taste: N
backyard: 6
bunny: 4
yes: N
scissors: 6
broken: 3
catch: 6
to: N
shirt: 4
of: N
box: 4
back: 2
snow: N
swim: 6
be: N
firetruck: 6
friend: 6
slow: 3
and: N
uncle: N
fall: 6
draw: 6
boat: 6
pencil: 6
dish: 4
kitty: 4
skate: 6
gotta: N
hate: N
ball: 6
owl: 4
bee: 4
when: N
asleep: N
hose: 6
baa baa: N
corn: 4
coffee: 4
bubble: 4
roof: 2
buy: 6
train: 6
tights: 4
hard: 3
you: N
camera: 6
couch: 6
diaper: 4
strawberry: 4
drive: 6
puzzle: 6
talk: 6
ear: 2
story: N
purse: 4
animal: N
did ya: N
soft: 3
button: 4
thank you: N
butter: 4
no: N
wake: 6
bathtub: 6
ice cream: 4
tiger: 4
helicopter: 6
shoe: 4
trash: 3
pickle: 4
rock: 4
police: 6
house: 6
french fries: 4
light: 2
wait: N
if: N
hello: N
belly button: 2
over: 2
crayon: 4
long: 3
juice: 4
how: N
sad: N
street: 6
jello: 4
love: N
sink: 6
truck: 6
vacuum: 6
too: N
horse: 4
read: 6
pudding: 4
have to: N
more: N
dry (action): 6
jelly: 4
play dough: 6
sing: 6
naughty: N
say: N
drink (beverage): 4
bird: 4
go: N
first: N
mommy: N
puppy: 4
does: N
watch (object): 6
lady: N
yum yum: N
applesauce: 4
call: 6
stand: 6
spaghetti: 4
work (action): 6
outside: 6
black: N
these: N
hurry: N
lollipop: 4
teddybear: 4
giraffe: 4
pillow: 4
drop: 6
gas station: 6
got to: N
next to: 2
there: N
kick: 6
ice: N
poor: N
teacher: N
carrot: 4
sprinkler: 6
store: 6
fork: 4
bathroom: 6
grandpa: N
motorcycle: 6
finish: 6
hide: 6
bite: 6
popsicle: 4
break: 6
loud: 3
in: N
downtown: 6
boy: N
another: N
build: 6
bean: 4
tooth: 2
some: N
fish (animal): 4
his: N
zoo: 6
boo boo: N
beside: 2
like: N
picture: N
have: N
splash: 6
bottom: 2
coat: 4
hear: 2
any: N
time: N
cookie: 4
take: 6
soup: N
babysitter's name: N
wind: N
jacket: 4
yucky: N
pen: 4
sandbox: 6
lawn mower: 6
eat: 6
hand: 2
grrr: N
then: N
vroom: N
fit: 3
this little piggy: N
table: 6
noisy: 3
sweater: 4
shh: N
red: N
soap: 4
did: N
gonna: N
is: N
so: N
make: 6
knee: 2
mouse: 4
throw: 6
this: N
bath: 6
moo: 4
garage: 6
those: N
sister: N
help: 6
monkey: 4
old: N
their: N
high chair: 6
kleenex: 4
sticky: 3
dress: 4
tricycle: 6
milk: 4
moose: 4
meow: 4
hen: 4
watch (action): 6
chicken (food): 4
will: N
mop: 6
slide (object): 6
clown: 4
oven: 4
sofa: 6
nap: 6
clap: 6
buttocks: 2
dinner: 6
off: 2
basement: 6
paint: 6
mouth: 2
don't: N
game: N
write: 6
penguin: 4
pizza: 4
baby: N
windy: N
tape: 4
ride: 6
bye: N
movie: 6
finger: 2
hit: 6
child: N
clean (action): 6
dry (description): 3
lunch: 6
give: 6
bib: 4
stop: 6
walk: 6
need: N
fast: 3
coke: 4
turtle: 4
mad: N
playground: 6
work (place): N
cheerio: N
go potty: N
orange (food): 4
snowsuit: 4
food: N
dark: N
get: N
around: N
touch: 6
salt: 2
stuck: 3
ouch: N
closet: 6
scared: N
nail: 2
cover: 6
bus: 6
lamp: 4
can (auxiliary): N
before: N
penis: N
rip: 6
shower: 6
on top of: 2
cockadoodledoo: N
cowboy: 4
bucket: 4
rooster: 4
lemme: N
garbage: 6
bug: 4
necklace: 4
yesterday: N
washing machine: 6
wish: N
he: N
fine: N
country: N
room: N
every: N
hungry: N
dirty: N
were: N
cake: 4
bowl: 4
walker: 6
party: 6
window: 6
each: N
donut: 4
hamburger: 4
today: N
let me: N
day: N
lamb: 4
lick: 6
stay: 6
shoulder: 2
plate: 4
comb: 4
radio: 4
feed: 6
pour: 6
better: 3
brother: N
spoon: 4
meat: 4
what: N
hat: 4
she: N
tired: N
night: N
paper: 4
present: 6
where: N
flag: 4
it: N
balloon: 4
find: 6
snack: 6
cheese: 4
climb: 6
a lot: N
girl: N
frog: 4
school: 6
who: N
nut: 4
her: N
choo choo: N
tiny: 3
duck: 4
banana: 4
shovel: 4
book: 4
arm: 2
scarf: 4
up: N
pretty: N
gentle: N
hold: 6
bread: 4
pretend: N
pet's name: N
us: N
muffin: 4
would: N
star: N
breakfast: 6
alligator: 4
we: N
pull: 6
hush: N
brown: N
high: 3
napkin: 4
gum: 4
sick: N
sidewalk: 6
chase: 6
sandwich: 4
play: N
ant: 4
do: N
zebra: 4
tummy: 2
yard: 6
peanut butter: 4
give me five: N
shorts: 4
orange (description): 3
face: 2
door: 2
carry: 6
happy: N
melon: 4
pretzel: 4
with: N
turkey: 4
clock: 4
grape: 4
bench: 4
bad: N
dryer: 6
woods: 6
tray: 4
zipper: 4
cracker: 4
ladder: 6
kiss: 6
shush: N
green: N
penny: 4
key: 4
water (beverage): 4
church: N
toe: 2
cute: N
cloud: N
tuna: 4
belt: 4
glove: 4
mitten: 4
which: N
tongue: 2
chin: 2
swing (object): 6
beach: 6
soda: 4
blue: N
glass: 4
brush: 4
hair: 2
owie: N
grass: 2
me: N
down: N
new: N
heavy: 3
glue: 4
pattycake: 4
thirsty: N
slipper: 4
into: N
candy: 4
jar: 4
other: N
potty: N
last: N
bring: 6
good: N
hammer: 4
chocolate: 4
TV: 6
by: N
jump: 6
nurse: N
could: N
wolf: 4
glasses: 4
please: N
was: N
want to: N
yogurt: 4
telephone: 6
kitchen: 6
wipe: 6
but: N
sleep: N
boots: 4
drawer: 6
pony: 4
green beans: 4
deer: 4
blanket: 4
pajamas: 4
goose: 4
fish (food): 4
potato chip: 4
farm: N
cup: 4
elephant: 4
stairs: 6
airplane: 6
about: N
inside: N
squirrel: 4
pop: 4
smile: 6
sled: 6
close: 2
hi: N
away: N
water (not beverage): N
look: N
medicine: N
put: 6
dump: 6
why: N
pool: 6
above: 2
can (object): 4
your: N
flower: 4
cat: 4
drink (action): 6
camping: N
lip: 2
listen: 6
potato: 4
little: N
bottle: 4
wanna: N
not: N
a: N
awake: N
because: N
knife: 4
bump: 3
