think: 3
bread: N
clown: N
is: N
take: N
water: 2
please: N
his: N
before: N
french fries: N
yes: N
coffee: N
pants: N
pretty: N
night: 1
bus: N
potato chip: N
squirrel: N
so big: N
are: N
chin: 1
telephone: N
time: N
rooster: N
it: N
cheerio: N
talk: N
cracker: N
pick: N
beach: N
want to: N
fit: N
drink: 2
share: N
which: N
button: N
find: N
splash: N
giraffe: N
day: N
woof woof: N
lemme: N
melon: N
pickle: N
vagina: N
put: N
zoo: N
lamp: N
sauce: N
pencil: N
tiny: N
rain: 1
like: N
next to: N
bead: N
teacher: N
ant: N
call: N
pretend: N
me: N
circus: N
buttocks: N
girl: N
mad: N
milk: N
draw: N
pen: N
puppy: N
hair: 3
light: N
grape: N
black: N
crib: N
snowsuit: N
you: N
soda: N
story: N
going to: N
brother: N
wind: 1
key: N
thirsty: 3
our: N
into: N
daddy: N
park: N
play: N
pajamas: N
nose: 3
stop: N
gonna get you: N
lion: N
hide: N
buy: N
boo boo: N
carrot: N
mommy: N
tickle: N
donut: N
money: N
shoulder: 2
rip: N
long: N
chase: N
blow: N
jar: N
did ya: N
he: N
police: N
downtown: N
slipper: N
each: N
hit: N
woods: N
wolf: N
church: N
new: N
cookie: N
flower: N
then: N
snowman: N
salt: N
coke: N
slow: N
little: N
stove: N
nut: N
radio: N
nurse: N
noisy: N
playground: N
down: N
those: N
sun: 1
egg: N
quiet: N
roof: N
helicopter: N
she: N
drawer: N
basket: N
blanket: N
napkin: N
book: N
too: N
fireman: N
tricycle: N
scissors: N
touch: N
break: N
finger: 3
cloud: N
cowboy: N
listen: N
tomorrow: N
build: N
ice: N
peanut butter: N
fork: N
duck: N
run: N
pig: N
pea: N
frog: N
boy: N
my: N
paper: N
hard: N
last: N
tongue: N
brush: N
lollipop: N
belly button: N
yellow: N
white: N
elephant: N
pancake: N
plant: N
potato: N
shower: 3
full: N
windy: N
bite: N
turkey: N
mouse: N
wipe: N
pool: N
need: N
bee: N
uh oh: N
pattycake: N
aunt: N
but: N
tape: N
chair: N
clap: N
yourself: N
cry: 3
bad: N
shh: N
broom: N
throw: N
child: N
we: N
glue: N
bed: N
backyard: N
toy: N
push: N
box: N
teddybear: N
tree: N
read: N
popcorn: N
bib: N
let me: N
boat: N
knock: N
hug: N
red: N
green: N
go potty: N
airplane: N
shopping: N
same: N
sleepy: 3
breakfast: N
hurt: 3
kick: N
pull: N
their: N
can: N
noodle: N
dog: N
clean: N
tights: N
