seq1,seq2,item_id,category1,category2,item_definition,uni_lemma,word_1,word_2,word_3,word_for_llm,irregular,note,AoA,concreteness,concreteness_sd,iconicity,iconicity_sd,childBOI,childBOI_sd,adultBOI,adultBOI_sd,Auditory,Auditory_sd,Gustatory,Gustatory_sd,Haptic,Haptic_sd,Interoceptive,Interoceptive_sd,Olfactory,Olfactory_sd,Visual,Visual_sd,Foot_leg,Foot_leg_sd,Hand_arm,Hand_arm_sd,Head,Head_sd,Mouth,Mouth_sd,Torso,Torso_sd,phoneme,phoneme_sd,socialness,socialness_sd,semD,semD_sd,valence,valence_sd,arousal,arousal_sd,dominance,dominance_sd,imageability,imageability_sd,babiness,babiness_sd,frequency,frequency_sd,mlu,mlu_sd,contextD,contextD_sd,gpt-4o-2024-05-13_concreteness_sd,gpt-4o-2024-05-13_iconicity_sd,gpt-4o-2024-05-13_childBOI_sd,gpt-4o-2024-05-13_adultBOI_sd,gpt-4o-2024-05-13_Auditory_sd,gpt-4o-2024-05-13_Gustatory_sd,gpt-4o-2024-05-13_Haptic_sd,gpt-4o-2024-05-13_Interoceptive_sd,gpt-4o-2024-05-13_Olfactory_sd,gpt-4o-2024-05-13_Visual_sd,gpt-4o-2024-05-13_Foot_leg_sd,gpt-4o-2024-05-13_Hand_arm_sd,gpt-4o-2024-05-13_Head_sd,gpt-4o-2024-05-13_Mouth_sd,gpt-4o-2024-05-13_Torso_sd,gpt-4o-2024-05-13_socialness_sd,gpt-4o-2024-05-13_valence_sd,gpt-4o-2024-05-13_arousal_sd,gpt-4o-2024-05-13_dominance_sd,gpt-4o-2024-05-13_imageability_sd,gpt-4o-2024-05-13_babiness_sd,gpt-4o-mini-2024-07-18_concreteness_sd,gpt-4o-mini-2024-07-18_iconicity_sd,gpt-4o-mini-2024-07-18_childBOI_sd,gpt-4o-mini-2024-07-18_adultBOI_sd,gpt-4o-mini-2024-07-18_Auditory_sd,gpt-4o-mini-2024-07-18_Gustatory_sd,gpt-4o-mini-2024-07-18_Haptic_sd,gpt-4o-mini-2024-07-18_Interoceptive_sd,gpt-4o-mini-2024-07-18_Olfactory_sd,gpt-4o-mini-2024-07-18_Visual_sd,gpt-4o-mini-2024-07-18_Foot_leg_sd,gpt-4o-mini-2024-07-18_Hand_arm_sd,gpt-4o-mini-2024-07-18_Head_sd,gpt-4o-mini-2024-07-18_Mouth_sd,gpt-4o-mini-2024-07-18_Torso_sd,gpt-4o-mini-2024-07-18_socialness_sd,gpt-4o-mini-2024-07-18_valence_sd,gpt-4o-mini-2024-07-18_arousal_sd,gpt-4o-mini-2024-07-18_dominance_sd,gpt-4o-mini-2024-07-18_imageability_sd,gpt-4o-mini-2024-07-18_babiness_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_concreteness_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_iconicity_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_childBOI_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_adultBOI_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Auditory_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Gustatory_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Haptic_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Interoceptive_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Olfactory_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Visual_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Foot_leg_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Hand_arm_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Head_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Mouth_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_Torso_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_socialness_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_valence_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_arousal_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_dominance_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_imageability_sd,meta-llama_Meta-Llama-3.1-70B-Instruct_babiness_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_concreteness_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_iconicity_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_childBOI_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_adultBOI_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Auditory_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Gustatory_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Haptic_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Interoceptive_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Olfactory_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Visual_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Foot_leg_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Hand_arm_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Head_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Mouth_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_Torso_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_socialness_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_valence_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_arousal_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_dominance_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_imageability_sd,meta-llama_Meta-Llama-3.1-405B-Instruct_babiness_sd
0,1,item_1,sounds,other,baa baa,baa baa,baa baa,NA,NA,baa baa,FALSE,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.492063492,NA,34,NA,0.516397779,1.173787791,1.636391694,0.632455532,1.135292424,0,0.421637021,0.948683298,0,1.154700538,0.421637021,0.674948558,1.08012345,1.429840706,0.918936583,0.483045892,1.370320319,1.316561177,1.264911064,1.0749677,0.966091783,0.975900073,0.483045892,0.707106781,0,1.316561177,0,0.316227766,0.440958552,0.333333333,0.567646212,0,0.316227766,0.333333333,0,0.316227766,0.737864787,0.316227766,0.948683298,0.699205899,0.483045892,1.197219,1.494434118,0.534522484,1.97604704,1.632993162,0.516397779,0,0.755928946,0,0,1.732050808,0,0.440958552,0,1.414213562,0,1.58113883,0.699205899,1.197219,1.154700538,0.699205899,2.225394561,1.251665557,1.251665557,0.353553391,0.377964473,0.816496581,0,1.197219,0,0,1.663329993,0,0.707106781,0.707106781,0.843274043,0,0.918936583,1.0749677,0.567646212,0.816496581,1.349897115,1.414213562
1,2,item_2,sounds,other,choo choo,choo choo,choo choo,NA,NA,choo choo,FALSE,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48125,NA,64,NA,0.483045892,0.971825316,1.87379591,0.674948558,1.135292424,0,0.483045892,0.948683298,0,1.197219,0.788810638,0.788810638,1.0749677,1.429840706,0.823272602,0.483045892,1.333333333,1.595131482,1.264911064,0.948683298,0.567646212,0.975900073,0.567646212,0.707106781,0,0.843274043,0,0.316227766,0.440958552,0.333333333,0.843274043,0,0.316227766,0.440958552,0,0.316227766,0.699205899,0.316227766,0.918936583,0.843274043,0.516397779,0.994428926,1.595131482,0.534522484,2.052872552,1.673320053,0.516397779,0,0.755928946,0,0,2.204792759,0.377964473,0.707106781,0,0,0.377964473,1.341640786,0.918936583,1.197219,1.154700538,0.699205899,2.760262237,1.349897115,1.08012345,0.726483157,1.309307341,0.875595036,0,1.316561177,0,0.316227766,2.347575582,0,0.971825316,0.707106781,0.843274043,0,0.942809042,1.0749677,0.666666667,0.516397779,1.433720878,1.333333333
2,3,item_3,sounds,other,cockadoodledoo,cockadoodledoo,cockadoodledoo,NA,NA,cockadoodledoo,FALSE,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.916666667,NA,1558.140962,NA,2,NA,1,NA,0.516397779,0.994428926,1.58113883,0.632455532,1.135292424,0,0.421637021,0.948683298,0,1.197219,0.421637021,0.674948558,1.08012345,1.429840706,0.918936583,0.699205899,1.333333333,1.370320319,1.264911064,0.966091783,1.229272594,0.975900073,0.567646212,0.707106781,0,1.264911064,0,0.333333333,0.440958552,0.333333333,0.632455532,0,0.316227766,0.333333333,0,0.316227766,0.674948558,0.316227766,0.918936583,0.699205899,0.516397779,1.82878223,1.549193338,0.534522484,1.97604704,1.632993162,0.487950036,0,0.755928946,0,0,1.732050808,0,0.440958552,1.58113883,2.439750182,0,1.516575089,0.699205899,1.197219,1.154700538,0.699205899,1.772810521,1.251665557,1.197219,0.353553391,0.377964473,0.918936583,0,1.197219,0,0,1.663329993,0,0.707106781,0.707106781,0.843274043,0,0.918936583,1.059349905,0.567646212,0.788810638,1.349897115,1.173787791
3,4,item_4,sounds,other,grrr,grrr,grrr,NA,NA,grrr,FALSE,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.2821812,NA,5.125,NA,10,NA,0.737864787,0.942809042,0.316227766,0,1.636391694,0,0.421637021,1.316561177,0,0.816496581,0.316227766,0.699205899,1.173787791,1.523883927,0.843274043,0.516397779,1.054092553,1.0749677,1.490711985,0.737864787,1.686548085,0.690065559,0.666666667,0.440958552,0,0.875595036,0,0.316227766,0.440958552,0.333333333,0.567646212,0,0.316227766,0.353553391,0,0.316227766,0.516397779,0.674948558,1.699673171,0.707106781,0.737864787,0,1.333333333,0.755928946,1.864454471,0.836660027,0.786795792,0,0.755928946,0.88640526,0,0.881917104,0,0.440958552,1.370320319,1.889822365,0.755928946,1.673320053,0.823272602,1.577621275,1.173787791,1.173787791,1.97604704,1.251665557,1.349897115,0.353553391,0.377964473,0.948683298,0,1.159501809,0.948683298,0,1.251665557,0,0.707106781,0.881917104,1.333333333,0.707106781,0.737864787,0.823272602,0.674948558,0.527046277,1.0749677,1.354006401
4,5,item_5,sounds,other,meow,meow,meow,NA,NA,meow,FALSE,NA,17,3.92,1.41,5.8,1.549193338,3.379310345,2.320926433,1.608695652,1.587998467,4.75,0.550119604,0.15,0.670820393,0.4,0.994722918,0.5,1.277332747,0.1,0.447213595,1.6,1.759186415,0.095238095,0.43643578,0.19047619,0.679635757,2.904761905,2.904761905,1.619047619,1.909874092,0.095238095,0.43643578,3,NA,NA,NA,NA,NA,6.14,1.9,3.42,3.05,5.75,2.02,NA,NA,1.818181818,NA,1833.350027,NA,2.322641509,NA,111,NA,0.483045892,1.059349905,1.58113883,0.632455532,1.135292424,0,0.421637021,0.948683298,0,1.247219129,0.316227766,0.674948558,1.08012345,1.429840706,0.918936583,0.483045892,1.333333333,1.0749677,1.264911064,0.843274043,1.505545305,1.060660172,0.316227766,0.707106781,0,1.523883927,0,0.316227766,0.440958552,0.333333333,0.816496581,0,0.316227766,0.333333333,0,0.316227766,0.674948558,0.316227766,0.948683298,0.567646212,0.483045892,2.260776661,1.494434118,0.377964473,2.370453041,1.632993162,0.516397779,0,0.755928946,0,0,0.881917104,0,0.440958552,0,1.414213562,0,1.58113883,1.197219,0.994428926,0.948683298,0.674948558,1.718249386,1.251665557,1.251665557,0.353553391,0.377964473,0.737864787,0,1.197219,0,0,1.663329993,0,0.833333333,0.707106781,0.843274043,0,0.918936583,1.154700538,0.632455532,0.674948558,1.349897115,1.100504935
5,6,item_6,sounds,other,moo,moo,moo,NA,NA,moo,FALSE,NA,17,3.4,1.59,6.2,1.135292424,NA,NA,1.291666667,0.907896119,4.8,0.523148364,0.05,0.223606798,0.15,0.366347549,0.15,0.366347549,0.2,0.615587011,0.8,1.472555959,0,0,0.166666667,0.707106781,2.333333333,2.333333333,2.166666667,2.176073096,0.166666667,0.514495755,2,NA,1.904761905,1.48002574,NA,NA,5.48,1.4,3.95,2.19,5.18,1.59,NA,NA,4.076923077,NA,2500.22938,NA,3.344983089,NA,188,NA,0.516397779,1.059349905,1.58113883,0.632455532,1.135292424,0,0.421637021,0.948683298,0,1.197219,0.421637021,0.674948558,1.08012345,1.429840706,0.918936583,0.483045892,1.370320319,1.316561177,1.264911064,0.843274043,1.333333333,1.060660172,0.316227766,0.707106781,0,1.567021236,0,0.316227766,0.440958552,0.333333333,0.875595036,0,0.316227766,0.333333333,0,0.316227766,0.674948558,1.264911064,1.0749677,0.674948558,0.483045892,2.633122354,1.494434118,0.377964473,2.065879266,1.632993162,0.516397779,0,0.755928946,0,0.353553391,1.732050808,0,0.440958552,0,1.414213562,0,0.894427191,1.349897115,1.135292424,0.966091783,0.674948558,1.718249386,1.251665557,1.251665557,0.353553391,0.377964473,0.737864787,0,1.197219,0,0,1.663329993,0,0.707106781,0.440958552,0.843274043,0,0.918936583,1.154700538,0.632455532,0.674948558,1.349897115,1.032795559
6,7,item_7,sounds,other,ouch,ouch,ouch,NA,NA,ouch,FALSE,NA,18,2.76,1.43,6.1,0.875595036,5.208333333,2.08470969,1.75,1.224744871,0.684210526,1.293257368,0.052631579,0.229415734,4.105263158,1.410072372,4.210526316,1.315672509,0,0,1.315789474,1.827342684,2.894736842,1.696229048,2.894736842,1.559727072,3.105263158,3.105263158,3.368421053,1.535162905,2.736842105,1.726978906,2,NA,NA,NA,1.383851774,NA,NA,NA,NA,NA,NA,NA,3.2,2.3,5.25,NA,1849.299043,NA,2.178723404,NA,109,NA,0.699205899,0.875595036,2.59058123,0.674948558,1.154700538,0,1.505545305,0.737864787,0,0.875595036,1.316561177,0.788810638,1.159501809,1.0749677,0.843274043,0.421637021,0.966091783,0.823272602,1.251665557,0.527046277,1.490711985,0.744023809,0.674948558,1.013793755,0,0.516397779,0,1.032795559,1.092906421,0.333333333,0.823272602,0.316227766,0.674948558,0.726483157,2.5,0.674948558,0.737864787,0.421637021,1.791957341,0.699205899,0.788810638,3.590109871,1.449137675,0.755928946,2.695896352,0.836660027,0.98319208,0,0.744023809,1.364225462,0,0.881917104,1.488047618,0.971825316,2.024845673,1.414213562,1.463850109,1,0.632455532,2.260776661,1.154700538,0.737864787,2.794552524,1.229272594,1.349897115,1.603567451,1.060660172,1.494434118,0,1.100504935,1.173787791,0,1.316561177,0.916125381,1.5,1.429840706,1.686548085,0.788810638,1.100504935,0.788810638,1.178511302,0.737864787,0.707106781,1.354006401
7,8,item_8,sounds,other,quack quack,quack quack,quack quack,NA,NA,quack quack,FALSE,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.432024169,NA,96,NA,0.516397779,0.994428926,1.636391694,0.632455532,1.135292424,0,0.421637021,0.948683298,0,1.197219,0.483045892,0.674948558,1.0749677,1.429840706,0.918936583,0.483045892,1.333333333,1.494434118,1.264911064,0.966091783,0.966091783,1.060660172,0.471404521,0.707106781,0,1.264911064,0,0.316227766,0.440958552,0.333333333,0.567646212,0,0.316227766,0.333333333,0,0.316227766,0.737864787,0.421637021,0.948683298,0.699205899,0.483045892,1.229272594,1.494434118,0.534522484,1.97604704,1.632993162,0.487950036,0,0.755928946,0,0,1.732050808,0,0.440958552,0,0,0.377964473,1.516575089,0.699205899,1.197219,1.154700538,0.527046277,2.115700942,1.251665557,1.316561177,0.353553391,0.377964473,0.918936583,0,1.197219,0,0,1.663329993,0,0.707106781,0.707106781,0.843274043,0,0.918936583,1.059349905,0.567646212,0.816496581,1.349897115,1.251665557
8,9,item_9,sounds,other,uh oh,uh oh,uh oh,NA,NA,uh oh,FALSE,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.083333333,NA,NA,NA,3.933212996,NA,276,NA,0.699205899,0.737864787,0.316227766,0,1.490711985,0,0.421637021,1.264911064,0,0.816496581,0.674948558,0.788810638,1.197219,1.398411798,0.849836586,0.483045892,0.666666667,0.666666667,1.349897115,0.737864787,0.666666667,0.690065559,0.516397779,0.440958552,0,0.699205899,0,0.421637021,0.333333333,0.333333333,0.843274043,0,0.421637021,0.726483157,0,0.316227766,0.966091783,0.994428926,1.728840331,0.737864787,1.264911064,0.816496581,1.286683938,0.755928946,1.864454471,0.40824829,0.816496581,0,0,1.511857892,0,0.881917104,0,0.881917104,2.065591118,1.407885953,0,0.836660027,0.471404521,2.097617696,1.251665557,0.632455532,1.253566341,1.264911064,1.013793755,0.755928946,0.377964473,1.398411798,0,0.849836586,0.823272602,0,1.251665557,0,1.740051085,1.418136492,1.577621275,0.699205899,1.154700538,0.966091783,0.788810638,0.699205899,1.054092553,1.370320319
9,10,item_10,sounds,other,vroom,vroom,vroom,NA,NA,vroom,FALSE,NA,17.5,NA,NA,6.727272727,0.646669791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,2953.327452,NA,2.246575342,NA,60,NA,0.527046277,1.100504935,0.632455532,0.632455532,0.816496581,0,0.483045892,0.948683298,0,1.154700538,0.699205899,0.788810638,1.08012345,1.354006401,0.918936583,0.483045892,1.251665557,1.159501809,1.33749351,0.875595036,1.418136492,0.816496581,0.755928946,0.707106781,0.316227766,1.316561177,0,0.316227766,0.333333333,0.333333333,0.948683298,0,0.316227766,0.353553391,0,0.316227766,0.516397779,1.663329993,1.135292424,0.699205899,0.632455532,2.836272985,1.494434118,1,1.864454471,1.224744871,0.547722558,0,0.755928946,0,0,2.127857556,1.864454471,0.881917104,0,0,0,1.095445115,1.229272594,0.918936583,0.994428926,0.875595036,1.112697281,1.251665557,1.197219,0.353553391,0.377964473,0.843274043,0,1.316561177,0.632455532,0.316227766,1.663329993,0,0.971825316,0.707106781,0.632455532,0.421637021,0.737864787,0.948683298,0.567646212,0.948683298,1.429840706,1.100504935
