stand: 5
kick: 5
run: 5
jump: 5
dance: 5
walk: 5
step: N 
sit: 4
play: 4
stop: 4
go: 4
come: 4
get: 4
move: 4
stand up: N 
jump up: N 
stomp: N 
step on: N 
tiptoe: N 
hop: N 
skip: N 
trip: N 
fall: 3
slip: N 
crawl: N 
creep: N 
squat: N 
kneel: N 
lie down: N 
get up: N 
march: N 
stand still: N 
walk back: N 
run away: N 
go around: N 
move over: N 
step aside: N 
back up: N 
stand back: N 
turn around: 3
jump over: N 
walk along: N 
go up: N 
come down: N 
move on: N 
get out: N 
step out: N 
move in: N 
come in: N 
go in: N 
get in: N 
stand in: N 
walk in: N 
move up: N 
come up: N 
go up: N 
get up: N 
step up: N 
move down: N 
come down: N 
go down: N 
get down: N 
step down: N 
move across: N 
come across: N 
go across: N 
get across: N 
step across: N 
move through: N 
come through: N 
go through: N 
get through: N 
step through: N 
move around: N 
come around: N 
go around: N 
get around: N 
step around: N 
move over: N 
come over: N 
go over: N 
get over: N 
step over: N 
move on: N 
come on: N 
go on: N 
get on: N 
step on: N 
move off: N 
come off: N 
go off: N 
get off: N 
step off: N 
move away: N 
come away: N 
go away: N 
get away: N 
step away: N 
move ahead: N 
come ahead: N 
go ahead: N 
get ahead: N 
step ahead: N 
move along: N 
come along: N 
go along: N 
get along: N 
step along: N 
move with: N 
come with: N 
go with: N 
get with: N 
step with: N 
move by: N 
come by: N 
go by: N 
get by: N 
step by: N 
move during: N 
come during: N 
go during: N 
get during: N 
step during: N 
move until: N 
come until: N 
go until: N 
get until: N 
step until: N 
move while: N 
come while: N 
go while: N 
get while: N 
step while: N 
move before: N 
come before: N 
go before: N 
get before: N 
step before: N 
move after: N 
come after: N 
go after: N 
get after: N 
step after: N 
move then: N 
come then: N 
go then: N 
get then: N 
step then: N 
move once: N 
come once: N 
go once: N 
get once: N 
step once: N 
move here: N 
come here: N 
go here: N 
get here: N 
step here: N 
move there: N 
come there: N 
go there: N 
get there: N 
step there: N 
move where: N 
come where: N 
go where: N 
get where: N 
step where: N 
move when: N 
come when: N 
go when: N 
get when: N 
step when: N 
move why: N 
come why: N 
go why: N 
get why: N 
step why: N 
move how: N 
come how: N 
go how: N 
get how: N 
step how: N 
move about: N 
come about: N 
go about: N 
get about: N 
step about: N 
move again: N 
come again: N 
go again: N 
get again: N 
step again: N 
move home: N 
come home: N 
go home: N 
get home: N 
step home: N 
move straight: N 
come straight: N 
go straight: N 
get straight: N 
step straight: N 
move fast: N 
come fast: N 
go fast: N 
get fast: N 
step fast: N 
move slow: N 
come slow: N 
go slow: N 
get slow: N 
step slow: N 
move quickly: N 
come quickly: N 
go quickly: N 
get quickly: N 
step quickly: N 
move faster: N 
come faster: N 
go faster: N 
get faster: N 
step faster: N 
move slower: N 
come slower: N 
go slower: N 
get slower: N 
step slower: N 
move early: N 
come early: N 
go early: N 
get early: N 
step early: N 
move late: N 
come late: N 
go late: N 
get late: N 
step late: N 
move often: N 
come often: N 
go often: N 
get often: N 
step often: N 
move very: N 
come very: N 
go very: N 
get very: N 
step very: N 
move too: N 
come too: N 
go too: N 
get too: N 
step too: N 
move really: N 
come really: N 
go really: N 
get really: N 
step really: N 
move almost: N 
come almost: N 
go almost: N 
get almost: N 
step almost: N 
move high: N 
come high: N 
go high: N 
get high: N 
step high: N 
move low: N 
come low: N 
go low: N 
get low: N 
step low: N 
move left: N 
come left: N 
go left: N 
get left: N 
step left: N 
move right: N 
come right: N 
go right: N 
get right: N 
step right: N 
move away: N 
come away: N 
go away: N 
get away: N 
step away: N 
move back: N 
come back: N 
go back: N 
get back: N 
step back: N 
move near: N 
come near: N 
go near: N 
get near: N 
step near: N 
move far: N 
come far: N 
go far: N 
get far: N 
step far: N 
move up: N 
come up: N 
go up: N 
get up: N 
step up: N 
move down: N 
come down: N 
go down: N 
get down: N 
step down: N 
move in: N 
come in: N 
go in: N 
get in: N 
step in: N 
move out: N 
come out: N 
go out: N 
get out: N 
step out: N 
move with: N 
come with: N 
go with: N 
get with: N 
step with: N 
move to: N 
come to: N 
go to: N 
get to: N 
step to: N 
move from: N 
come from: N 
go from: N 
get from: N 
step from: N 
move by: N 
come by: N 
go by: N 
get by: N 
step by: N 
move during: N 
come during: N 
go during: N 
get during: N 
step during: N 
move until: N 
come until: N 
go until: N 
get until: N 
step until: N 
move while: N 
come while: N 
go while: N 
get while: N 
step while: N 
move before: N 
come before: N 
go before: N 
get before: N 
step before: N 
move after: N 
come after: N 
go after: N 
get after: N 
step after: N 
move then: N 
come then: N 
go then: N 
get then: N 
step then: N 
move once: N 
come once: N 
go once: N 
get once: N 
step once: N 
move here: N 
come here: N 
go here: N 
get here: N 
step here: N 
move there: N 
come there: N 
go there: N 
get there: N 
step there: N 
move where: N 
come where: N 
go where: N 
get where: N 
step where: N 
move when: N 
come when: N 
go when: N 
get when: N 
step when: N 
move why: N 
come why: N 
go why: N 
get why: N 
step why: N 
move how: N 
come how: N 
go how: N 
get how: N 
step how: N 
move about: N 
come about: N 
go about: N 
get about: N 
step about: N 
move again: N 
come again: N 
go again: N 
get again: N 
step again: N 
move home: N 
come home: N 
go home: N 
get home: N 
step home: N 
move straight: N 
come straight: N 
go straight: N 
get straight: N 
step straight: N 
move fast: N 
come fast: N 
go fast: N 
get fast: N 
step fast: N 
move slow: N 
come slow: N 
go slow: N 
get slow: N 
step slow: N 
move quickly: N 
come quickly: N 
go quickly: N 
get quickly: N 
step quickly: N 
move faster: N 
come faster: N 
go faster: N 
get faster: N 
step faster: N 
move slower: N 
come slower: N 
go slower: N 
get slower: N 
step slower: N 
move early: N 
come early: N 
go early: N 
get early: N 
step early: N 
move late: N 
come late: N 
go late: N 
get late: N 
step late: N 
move often: N 
come often: N 
go often: N 
get often: N 
step often: N 
move very: N 
come very: N 
go very: N 
get very: N 
step very: N 
move too: N 
come too: N 
go too: N 
get too: N 
step too: N 
move really: N 
come really: N 
go really: N 
get really: N 
step really: N 
move almost: N 
come almost: N 
go almost: N 
get almost: N 
step almost: N 
move high: N 
come high: N 
go high: N 
get high: N 
step high: N 
move low: N 
come low: N 
go low: N 
get low: N 
step low: N 
move left: N 
come left: N 
go left: N 
get left: N 
step left: N 
move right: N 
come right: N 
go right: N 
get right: N 
step right: N 
move away: N 
come away: N 
go away: N 
get away: N 
step away: N 
move back: N 
come back: N 
go back: N 
get back: N 
step back: N 
move near: N 
come near: N 
go near: N 
get near: N 
step near: N 
move far: N 
come far: N 
go far: N 
get far: N 
step far: N 
move up: N 
come up: N 
go up: N 
get up: N 
step up: N 
move down: N 
come down: N 
go down: N 
get down: N 
step down: N 
move in: N 
come in: N 
go in: N 
get in: N 
step in: N 
move out: N 
come out: N 
go out: N 
get out: N 
step out: N 
move with: N 
come with: N 
go with: N 
get with: N 
step with: N 
move to: N 
come to: N 
go to: N 
get to: N 
step to: N 
move from: N 
come from: N 
go from: N 
get from: N 
step from: N 
move by: N 
come by: N 
go by: N 
get by: N 
step by: N 
move during: N 
come during: N 
go during: N 
get during: N 
step during: N 
move until: N 
come until: N 
go until: N 
get until: N 
step until: N 
move while: N 
come while: N 
go while: N 
get while: N 
step while: N 
move before: N 
come before: N 
go before: N 
get before: N 
step before: N 
move after: N 
come after: N 
go after: N 
get after: N 
step after: N 
move then: N 
come then: N 
go then: N 
get then: N 
step then: N 
move once: N 
come once: N 
go once: N 
get once: N 
step once: N 
move here: N 
come here: N 
go here: N 
get here: N 
step here: N 
move there: N 
come there: N 
go there: N 
get there: N 
step there: N 
move where: N 
come where: N 
go where: N 
get where: N 
step where: N 
move when: N 
come when: N 
go when: N 
get when: N 
step when: N 
move why: N 
come why: N 
go why: N 
get why: N 
step why: N 
move how: N 
come how: N 
go how: N 
get how: N 
step how: N 
move about: N 
come about: N 
go about: N 
get about: N 
step about: N 
move again: N 
come again: N 
go again: N 
get again: N 
step again: N 
move home: N 
