Here are the ratings for sensations inside your body:

think: 2
bread: N
clown: N
is: N
take: 3
water (not beverage): 4
please: N
his: N
before: N
french fries: N
yes: N
coffee: N
pants: 3
pretty: N
night: N
bus: N
potato chip: N
squirrel: N
so big: N
are: N
chin: 3
telephone: N
time: N
rooster: N
it: N
cheerio: N
talk: 4
cracker: N
pick: 3
beach: N
want to: N
fit: N
drink (beverage): 4
share: N
which: N
button: N
find: 3
splash: 4
giraffe: N
day: N
woof woof: N
lemme: N
melon: N
pickle: N
vagina: N
put: N
zoo: N
lamp: N
sauce: N
pencil: N
tiny: N
rain: 3
like: N
next to: N
bead: N
teacher: N
ant: N
call: N
pretend: N
me: N
circus: N
buttocks: N
girl: N
mad: N
milk: N
draw: N
pen: N
puppy: N
hair: 3
light: N
grape: N
black: N
crib: N
snowsuit: N
you: N
soda: N
story: N
going to: N
brother: N
wind: 3
key: N
thirsty: N
our: N
into: N
daddy: N
park: N
play: 4
pajamas: N
nose: 3
stop: N
gonna get you: N
lion: N
hide: N
buy: N
boo boo: N
carrot: N
mommy: N
tickle: N
donut: N
money: N
shoulder: N
rip: N
long: N
chase: N
blow: N
jar: N
did ya: N
he: N
police: N
downtown: N
slipper: N
each: N
hit: N
woods: N
wolf: N
church: N
new: N
cookie: N
flower: N
then: N
snowman: N
salt: N
coke: N
slow: N
little: N
stove: N
nut: N
radio: N
nurse: N
noisy: N
playground: N
down: N
those: N
sun: N
egg: N
quiet: N
roof: N
helicopter: N
she: N
drawer: N
basket: N
blanket: N
napkin: N
book: N
too: N
fireman: N
tricycle: N
scissors: N
touch: 4
break: N
finger: 3
cloud: N
cowboy: N
listen: N
tomorrow: N
build: N
ice: N
peanut butter: N
fork: N
duck: N
run: N
pig: N
pea: N
frog: N
boy: N
my: N
paper: N
hard: N
last: N
tongue: 3
brush: N
lollipop: N
belly button: 3
yellow: N
white: N
elephant: N
pancake: N
plant: N
potato: N
shower: N
full: N
windy: N
bite: N
turkey: N
mouse: N
wipe: N
pool: N
need: N
bee: N
uh oh: N
pattycake: N
aunt: N
but: N
tape: N
chair: N
clap: N
yourself: N
cry: N
bad: N
shh: N
broom: N
throw: N
child: N
we: N
glue: N
bed: N
backyard: N
toy: N
push: N
box: N
teddybear: N
tree: N
read: N
popcorn: N
bib: N
let me: N
boat: N
knock: N
hug: N
red: N
green: N
go potty: N
airplane: N
shopping: N
same: N
sleepy: N
breakfast: N
hurt: N
kick: N
pull: N
their: N
can (auxiliary): N
noodle: N
dog: N
clean (action): N
tights: N
shorts: N
picnic: N
car: N
nail: N
her: N
water (beverage): N
bedroom: N
knee: N
of: N
diaper: N
plate: N
they: N
boots: N
door: N
wanna: N
this: N
gum: N
babysitter's name: N
lunch: N
on: N
house: N
under: N
a: N
work (action): N
zebra: N
heavy: N
dryer: N
necklace: N
farm: N
finish: N
room: N
deer: N
morning: N
not: N
bug: N
ride: N
towel: N
cut: N
apple: N
snow: N
grandpa: N
around: N
hurry: N
camera: N
window: N
who: N
hush: N
doctor: N
foot: N
because: N
dance: N
train: N
look: N
bat: N
soft: N
out: N
now: N
bear: N
up: N
be: N
school: N
sticky: N
grandma: N
popsicle: N
fish (animal): N
underpants: N
glasses: N
more: N
corn: N
couch: N
stone: N
peekaboo: N
did: N
no: N
picture: N
climb: N
baby: N
penis: N
back: N
present: N
jello: N
cereal: N
jeans: N
hi: N
ear: N
off: N
today: N
butter: N
star: N
bathroom: N
pretzel: N
try to: N
living room: N
bicycle: N
pet's name: N
applesauce: N
dark: N
get: N
potty: N
pudding: N
lady: N
stairs: N
where: N
friend: N
cow: N
hat: N
other: N
movie: N
sky: N
on top of: N
orange (food): N
feed: N
penny: N
this little piggy: N
street: N
brown: N
bathtub: N
cheese: N
cute: N
hot: N
what: N
banana: N
owie: N
grrr: N
pour: N
gas station: N
fix: N
another: N
were: N
soup: N
nap: N
bunny: N
country: N
fast: N
basement: N
grass: N
rock: N
man: N
smile: N
eye: N
sleep: N
none: N
head: N
pumpkin: N
play dough: N
stuck: N
mine: N
sing: N
puzzle: N
cover: N
much: N
sweater: N
give: N
chicken (food): N
love: N
bubble: N
quack quack: N
good: N
garage: N
porch: N
make: N
yogurt: N
gentle: N
face: N
try: N
see: N
cheek: N
tiger: N
monkey: N
tummy: N
watch (action): N
moo: N
chalk: N
have to: N
soap: N
sheep: N
moon: N
balloon: N
night night: N
lick: N
don't: N
garbage: N
sofa: N
yum yum: N
shake: N
tuna: N
wait: N
hamburger: N
rocking chair: N
toothbrush: N
hand: N
an: N
tractor: N
in: N
awake: N
can (object): N
eat: N
person: N
kiss: N
ball: N
cake: N
truck: N
cat: N
doll: N
hungry: N
need to: N
mop: N
could: N
cup: N
sprinkler: N
muffin: N
hammer: N
cold: N
penguin: N
meow: N
bye: N
yesterday: N
away: N
nice: N
stroller: N
moose: N
fish (food): N
trash: N
clean (description): N
uncle: N
toe: N
and: N
spaghetti: N
open: N
ouch: N
sad: N
TV: N
swing (action): N
dirty: N
carry: N
spill: N
food: N
careful: N
all: N
watch (object): N
refrigerator: N
say: N
meat: N
game: N
beside: N
hear: N
if: N
paint: N
swing (object): N
would: N
go: N
vanilla: N
bath: N
hose: N
fine: N
have: N
yucky: N
glove: N
am: N
thank you: N
help: N
camping: N
taste: N
