Here are the ratings for feeling through touch:

paint: 0
bubble: 2
sock: 5
slipper: 5
don't: N
bench: 4
bottom: 5
wolf: N
pajamas: 5
love: N
gotta: N
asleep: 4
corn: 2
mad: N
bib: 4
kleenex: 4
telephone: 2
owie: 5
cut: 5
penis: 5
paper: 2
ear: 4
going to: N
banana: 2
fork: 2
skate: 4
today: N
pudding: 2
smile: N
penguin: N
finish: N
give: N
sandbox: 4
behind: N
glass: 2
hen: N
any: N
help: N
bead: 2
close: N
sofa: 4
with: N
train: 2
water (beverage): 2
fireman: N
hat: 4
brown: N
this little piggy: 5
milk: 2
arm: 5
his: N
home: N
garbage: N
tractor: 2
happy: N
orange (description): N
old: N
they: N
stone: 2
tights: 5
would: N
block: 2
soup: 2
present: N
pants: 5
rip: 5
dark: N
balloon: 2
crayon: 2
brush: 2
there: N
that: N
sweater: 5
break: N
see: N
off: N
jar: 2
because: N
and: N
box: 2
hard: N
lady: N
glove: 5
clock: 2
hafta: N
buy: N
sweep: 2
here: N
soap: 2
boo boo: 5
tricycle: 2
jeans: 5
make: N
careful: N
bean: 2
night: N
clap: 2
sun: N
green beans: 2
myself: N
poor: N
uh oh: N
face: 5
vagina: 5
slide (object): 2
TV: 2
ladder: 2
all gone: N
give me five: 5
egg: 2
picnic: N
on top of: N
donut: 2
stove: 2
giraffe: N
our: N
mop: 2
hold: 5
pen: 2
bad: N
this: N
another: N
go: N
back: N
country: N
yogurt: 2
button: 2
later: N
yum yum: N
lunch: N
too: N
splash: 2
get: N
bowl: 2
man: N
animal: N
last: N
ride: 2
pour: 2
think: N
zoo: N
clean (action): 2
clean (description): N
chalk: 2
oven: 2
gonna: N
napkin: 2
juice: 2
stay: N
butter: 2
loud: N
drink (action): 2
hair: 5
windy: N
pretzel: 2
truck: 2
them: N
boy: N
slow: N
fix: 2
when: N
fit: 2
eat: N
garage: N
clown: N
park: N
stick: 2
grrr: N
he: N
bathtub: 2
babysitter: N
drawer: 2
sing: N
school: N
swing (object): 2
hose: 2
towel: 2
could: N
put: N
build: 2
hammer: 2
toothbrush: 2
ant: N
doll: 2
big: N
church: N
empty: N
nail: 2
next to: N
spoon: 2
each: N
peekaboo: 5
much: N
chicken (food): 2
lemme: N
dog: N
are: N
high: N
day: N
bear: N
store: N
call: N
were: N
high chair: 2
bottle: 2
sauce: 2
me: N
dump: N
boots: 5
new: N
ice cream: 2
basement: N
closet: N
roof: N
applesauce: 2
living room: N
grape: 2
mine: N
mailman: N
bug: N
ouch: 5
refrigerator: 2
meow: N
sled: 2
mouse: N
bump: 5
basket: 2
hush: N
blanket: 5
baby: N
boat: 2
pool: N
puppy: N
bathroom: N
better: N
sheep: N
stroller: 2
scissors: 2
dinner: N
doctor: N
airplane: N
wash: 2
so big: N
play pen: 2
cheese: 2
wanna: N
motorcycle: 2
like: N
hit: 5
spaghetti: 2
a: N
pizza: 2
cookie: 2
head: 5
deer: N
couch: 4
why: N
say: N
have: N
turn around: 5
knife: 2
did ya: N
popcorn: 2
door: 2
party: N
chin: 5
finger: 5
salt: 2
lawn mower: 2
before: N
kitchen: N
tiny: N
orange (food): 2
coat: 5
melon: 2
beach: N
necklace: 2
heavy: N
chocolate: 2
sky: N
coke: 2
cracker: 2
you: N
none: N
money: N
draw: 2
sister: N
these: N
shake: 5
hear: N
thirsty: N
rooster: N
kiss: 5
sticky: 5
pancake: 2
crib: 2
by: N
morning: N
knock: 2
catch: 2
wake: N
on: N
hamburger: 2
choo choo: 2
hand: 5
find: N
helicopter: 2
pillow: 5
jump: 5
kitty: N
shh: N
girl: N
story: N
table: 2
pretend: N
farm: N
tongue: 5
potty: 5
camping: N
washing machine: 2
cake: 2
friend: N
vitamins: N
play dough: 2
apple: 2
tired: N
raisin: 2
hug: 5
tray: 2
walk: 5
mommy: N
gonna get you: N
tiger: N
uncle: N
moose: N
comb: 2
breakfast: N
can (object): 2
puzzle: N
sad: N
rock: 2
key: 2
horse: N
plate: 2
mouth: 5
did: N
slide (action): 5
feed: N
down: N
show: N
sprinkler: 2
dress: 5
lamb: N
read: N
hello: N
up: N
of: N
little: N
tuna: 2
pig: N
grass: N
shirt: 5
knee: 5
pop: 2
playground: N
toe: 5
look: N
grandpa: N
blow: 2
nose: 5
pumpkin: 2
glue: 2
snow: N
inside: N
for: N
us: N
cereal: 2
vacuum: 2
pattycake: 5
push: 5
picture: 2
elephant: N
lamp: 2
chair: 4
who: N
cheerio: 2
firetruck: 2
foot: 5
alligator: N
now: N
stairs: N
yesterday: N
got to: N
cat: N
time: N
hi: N
which: N
shoe: 5
monkey: N
first: N
chase: 5
dryer: 2
so: N
cowboy: N
babysitter's name: N
do: N
naughty: N
sit: 5
good: N
purse: 2
yard: N
tomorrow: N
people: N
downtown: N
candy: 2
nap: N
I: N
moon: N
broken: N
have to: N
nice: N
popsicle: 2
pea: 2
bat: N
aunt: N
buttocks: 5
daddy: N
fine: N
tear: 5
room: N
gentle: N
mitten: 5
stop: N
woods: N
broom: 2
food: 2
potato: 2
bee: N
sleep: N
hot: N
long: N
dirty: N
bread: 2
can (auxiliary): N
am: N
cover: 2
let me: N
him: N
coffee: 2
at: N
hers: N
shoulder: 5
flag: 2
sneaker: 5
wind: N
bird: N
all: N
circus: N
dry (action): 2
butterfly: N
rain: N
child's own name: N
bed: 4
will: N
bite: 5
shush: N
owl: N
brother: N
does: N
same: N
potato chip: 2
lip: 5
is: N
ball: 2
dish: 2
how: N
soft: N
stand: 5
backyard: N
your: N
sink: 2
nut: 2
person: N
above: N
zipper: 2
need: N
in: N
go potty: 5
yes: N
belly button: 5
she: N
pickle: 2
fast: N
snowsuit: 5
full: N
yourself: N
house: N
medicine: N
movie: N
swing (action): 5
red: N
bunny: N
carry: 5
try: N
tickle: 5
squirrel: N
be: N
the: N
to: N
bring: N
tree: N
under: N
listen: N
what: N
ice: N
strawberry: 2
around: N
radio: 2
bucket: 2
french fries: 2
pretty: N
lion: N
nurse: N
jello: 2
light: N
stuck: N
cow: N
walker: 2
sidewalk: N
bye: N
dance: N
some: N
tooth: 5
sandwich: 2
pencil: 2
out: N
lollipop: 2
open: N
wait: N
donkey: N
wish: N
thank you: N
their: N
cute: N
over: N
street: N
hate: N
camera: 2
outside: N
flower: N
scared: N
more: N
shower: N
chicken (animal): N
glasses: 2
cockadoodledoo: N
kick: 5
quiet: N
fish (animal): N
watch (action): 2
play: N
moo: N
tonight: N
rocking chair: 2
goose: N
drive: 2
it: N
belt: 2
then: N
dry (description): N
every: N
watch (object): 2
garden: N
write: 2
share: N
sleepy: N
beside: N
woof woof: N
quack quack: N
tummy: 5
bath: 2
cook: 2
window: 2
teddybear: 2
lick: 5
turtle: N
shovel: 2
star: N
taste: 5
please: N
work (action): 2
jelly: 2
need to: N
snack: 2
if: N
green: N
toy: 2
scarf: 2
duck: N
blue: N
throw: 5
her: N
tissue: 2
sick: N
away: N
peanut butter: 2
yucky: N
muffin: 2
vroom: 2
game: N
noisy: N
swim: 2
into: N
my: N
zebra: N
no: N
child: N
talk: N
after: N
tape: 2
hurry: N
jacket: 5
awake: N
bedroom: N
turkey: 2
drink (beverage): 2
car: 2
spill: 2
those: N
not: N
wipe: 2
underpants: 5
try to: N
run: 5
leg: 5
was: N
porch: N
gas station: N
an: N
eye: 5
hurt: 5
cup: 2
gum: 2
vanilla: 2
pull: 5
cheek: 5
book: 2
penny: 2
soda: 2
white: N
trash: N
carrot: 2
about: N
police: N
pet's name: N
cold: N
climb: 5
touch: 5
a lot: N
diaper: 5
fall: 5
plant: N
cry: N
work (place): N
water (not beverage): N
wet: N
other: N
frog: N
teacher: N
want to: N
bicycle: 2
take: N
black: N
drop: 5
toast: 2
hungry: N
ankle: 5
baa baa: N
night night: N
yellow: N
noodle: 2
cloud: N
pony: N
but: N
snowman: N
where: N
fish (food): 2
bus: N
shopping: N
pick: N
we: N
grandma: N
hide: N
shorts: 5
meat: 2
