at: N
cook: 4
egg: 1
tomorrow: 7
yourself: 7
man: 6
mailman: 6
full: 2
daddy: 6
tonight: 7
cut: 6
sleepy: 2
sit: 2
cow: 1
rain: 1
nose: 1
knock: 6
so big: N
them: 1
underpants: 4
people: 7
tractor: 4
try to: 6
grandma: 6
sky: 1
hug: 6
empty: 2
aunt: 6
popcorn: 4
sheep: 1
uh oh: N
car: 4
morning: 7
all: 1
bicycle: 4
sweep: 6
cheek: 1
taste: 1
backyard: 6
bunny: 1
yes: 1
scissors: 4
broken: 2
catch: 6
to: 1
shirt: 1
of: 1
box: 1
back: 1
snow: 1
swim: 6
be: 1
firetruck: 6
friend: 7
slow: 2
and: 1
uncle: 6
fall: 6
draw: 6
boat: 4
pencil: 1
dish: 1
kitty: 1
skate: 6
gotta: N
hate: 6
ball: 1
owl: 1
bee: 1
when: 1
asleep: 2
hose: 4
baa baa: N
corn: 1
coffee: 1
bubble: 1
roof: 1
buy: 6
train: 4
tights: 4
hard: 2
you: 1
camera: 4
couch: 4
diaper: 4
strawberry: 4
drive: 6
puzzle: 4
talk: 7
ear: 1
story: 7
purse: 4
animal: 6
did ya: N
soft: 2
button: 1
thank you: 7
butter: 1
no: 1
wake: 6
bathtub: 4
ice cream: 4
tiger: 1
helicopter: 4
shoe: 1
trash: 4
pickle: 4
rock: 1
police: 6
house: 6
french fries: 4
light: 1
wait: 6
if: 1
hello: 7
belly button: 4
over: 1
crayon: 1
long: 2
juice: 4
how: 1
sad: 2
street: 6
jello: 4
love: 7
sink: 4
truck: 4
vacuum: 4
too: 1
horse: 1
read: 6
pudding: 4
have to: 6
more: 1
dry: 2
jelly: 4
play dough: 4
sing: 7
naughty: 6
say: 7
drink: 4
bird: 1
go: 6
first: 1
mommy: 6
puppy: 1
does: 1
watch: 4
lady: 6
yum yum: 4
applesauce: 4
call: 6
stand: 6
spaghetti: 4
work: 6
outside: 6
black: 1
these: 1
hurry: 6
lollipop: 4
teddybear: 1
giraffe: 1
pillow: 1
drop: 6
gas station: 4
got to: 6
next to: 1
there: 1
kick: 6
ice: 1
poor: 6
teacher: 6
carrot: 1
sprinkler: 4
store: 6
fork: 1
bathroom: 6
grandpa: 6
motorcycle: 4
finish: 6
hide: 6
bite: 6
popsicle: 4
break: 6
loud: 2
in: 1
downtown: 6
boy: 1
another: 1
build: 6
bean: 1
tooth: 1
some: 1
fish: 1
his: 1
zoo: 6
boo boo: 4
beside: 1
like: 7
picture: 7
have: 1
splash: 6
bottom: 1
coat: 1
hear: 1
any: 1
time: 1
cookie: 4
take: 6
soup: 4
babysitter's name: N
wind: 1
jacket: 1
yucky: 2
pen: 1
sandbox: 4
lawn mower: 4
eat: 6
hand: 1
grrr: 4
then: 1
vroom: 4
fit: 2
this little piggy: 4
table: 1
noisy: 2
sweater: 1
shh: 4
red: 1
soap: 4
did: 1
gonna: 6
is: 1
so: 1
make: 6
knee: 1
mouse: 1
throw: 6
this: 1
bath: 4
moo: 1
garage: 4
those: 1
sister: 6
help: 6
monkey: 1
old: 1
their: 1
high chair: 4
kleenex: 4
sticky: 2
dress: 1
tricycle: 4
milk: 1
moose: 1
meow: 1
hen: 1
watch: 4
chicken: 1
will: 1
mop: 4
slide: 4
clown: 4
oven: 4
sofa: 4
nap: 2
clap: 6
buttocks: 4
dinner: 6
off: 1
basement: 4
paint: 6
mouth: 1
don't: 1
game: 4
write: 6
penguin: 1
pizza: 4
baby: 1
windy: 2
tape: 4
ride: 6
bye: 7
movie: 7
finger: 1
hit: 6
child: 6
clean: 6
dry: 2
lunch: 6
give: 6
bib: 4
stop: 6
walk: 6
need: 6
fast: 2
coke: 4
turtle: 1
mad: 6
playground: 6
work: 6
cheerio: 7
go potty: 4
orange: 1
snowsuit: 4
food: 1
dark: 1
get: 6
around: 1
touch: 1
salt: 1
stuck: 2
ouch: 4
closet: 4
scared: 6
nail: 1
cover: 4
bus: 4
lamp: 4
can: 1
before: 1
penis: 6
rip: 6
shower: 4
on top of: 1
cockadoodledoo: N
cowboy: 4
bucket: 4
rooster: 1
lemme: N
garbage: 4
bug: 1
necklace: 4
yesterday: 7
washing machine: 4
wish: 7
he: 1
fine: 2
country: 6
room: 4
every: 1
hungry: 6
dirty: 2
were: 1
cake: 4
bowl: 4
walker: 4
party: 7
window: 4
each: 1
donut: 4
hamburger: 4
today: 7
let me: 6
day: 1
lamb: 1
lick: 6
stay: 6
shoulder: 1
plate: 4
comb: 4
radio: 4
feed: 6
pour: 6
better: 7
brother: 6
spoon: 4
meat: 1
what: 1
hat: 1
she: 1
tired: 2
night: 7
paper: 4
present: 7
where: 1
flag: 4
it: 1
balloon: 4
find: 6
snack: 4
cheese: 4
climb: 6
a lot: 2
girl: 1
frog: 1
school: 6
who: 1
nut: 1
her: 1
choo choo: N
tiny: 2
duck: 1
banana: 1
shovel: 4
book: 1
arm: 1
scarf: 4
up: 1
pretty: 7
gentle: 7
hold: 6
bread: 1
pretend: 7
pet's name: N
us: 1
muffin: 4
would: 7
star: 4
breakfast: 6
alligator: 1
we: 1
pull: 6
hush: 4
brown: 1
high: 2
napkin: 4
gum: 4
sick: 6
sidewalk: 4
chase: 6
sandwich: 4
play: 7
ant: 1
do: 6
zebra: 1
tummy: 1
yard: 4
peanut butter: 4
give me five: 4
shorts: 4
orange: 1
face: 1
door: 1
carry: 6
happy: 7
melon: 1
pretzel: 4
with: 1
turkey: 1
clock: 4
grape: 1
bench: 4
bad: 2
dryer: 4
woods: 4
tray: 4
zipper: 4
cracker: 4
ladder: 4
kiss: 7
shush: 4
green: 1
penny: 4
key: 4
water: 1
church: 6
toe: 1
cute: 7
cloud: 1
tuna: 1
belt: 4
glove: 4
mitten: 4
which: 1
tongue: 1
chin: 1
swing: 4
beach: 6
soda: 4
blue: 1
glass: 4
brush: 4
hair: 1
owie: 4
grass: 1
me: 1
down: 1
new: 1
heavy: 2
glue: 4
pattycake: 7
thirsty: 6
slipper: 4
into: 1
candy: 4
jar: 4
other: 1
potty: 4
last: 1
bring: 6
good: 7
hammer: 6
chocolate: 4
TV: 4
by: 1
jump: 6
nurse: 6
could: 7
wolf: 1
glasses: 4
please: 7
was: 1
want to: 6
yogurt: 4
telephone: 4
kitchen: 6
wipe: 6
but: 1
sleep: 2
boots: 4
drawer: 4
pony: 1
green beans: 4
deer: 1
blanket: 4
pajamas: 4
goose: 1
fish: 1
potato chip: 4
farm: 6
cup: 4
elephant: 1
stairs: 4
airplane: 4
about: 1
inside: 4
squirrel: 1
pop: 4
smile: 7
sled: 4
close: 2
hi: 7
away: 1
water: 1
look: 6
medicine: 4
put: 6
dump: 6
why: 1
pool: 4
above: 1
can: 4
your: 1
flower: 1
cat: 1
drink: 4
camping: 6
lip: 1
listen: 6
potato: 1
little: 1
bottle: 4
wanna: N
not: 1
a: 1
awake: 2
because: 1
knife: 4
bump: 4
stone: 1
ankle: 1
that: 1
our: 1
swing: 4
play pen: 4
butterfly: 1
pants: 4
blow: 6
an: 1
after: 1
sneaker: 4
circus: 6
leg: 1
share: 6
him: 1
chair: 4
tickle: 6
pea: 1
picnic: 6
my: 1
tear: 1
now: 1
foot: 1
pumpkin: 1
cry: 6
slide: 4
vitamins: 4
for: 1
woof woof: N
crib: 4
cereal: 4
basket: 4
going to: 6
later: 1
quiet: 2
are: 1
hot: 2
none: 1
home: 6
chalk: 4
doll: 1
bed: 4
toast: 4
need to: 6
clean: 6
the: 1
shake: 6
yellow: 1
push: 6
toothbrush: 4
person: 6
tree: 1
vanilla: 1
moon: 1
eye: 1
mine: 1
babysitter: 6
plant: 1
apple: 1
out: 1
dance: 6
stove: 4
jeans: 4
they: 1
same: 1
bead: 1
doctor: 6
gonna get you: 6
porch: 4
noodle: 4
chicken: 1
behind: 1
refrigerator: 4
show: 6
child's own name: N
dog: 1
head: 1
stroller: 4
bear: 1
run: 6
garden: 6
here: 1
park: 6
donkey: 1
myself: 6
pig: 1
wash: 6
cold: 2
hafta: 6
wet: 2
open: 1
night night: 7
bat: 1
nice: 7
pick: 6
under: 1
fix: 6
on: 1
am: 1
bedroom: 4
vagina: 6
stick: 4
careful: 7
snowman: 4
hurt: 6
sun: 1
quack quack: N
shopping: 6
raisin: 1
toy: 4
spill: 6
all gone: 4
broom: 4
hers: 1
white: 1
turn around: 6
try: 6
think: 7
tissue: 4
see: 6
fireman: 6
towel: 4
living room: 4
sock: 4
rocking chair: 4
peekaboo: 7
big: 2
I: 1
pancake: 4
sauce: 1
much: 2
block: 4
money: 1
lion: 1
