Here are the ratings for smelling:

banana: 4
sneaker: 0
lion: 0
cook: 0
shirt: 0
orange (food): 4
egg: 1
vagina: N
chicken (animal): 0
sandwich: 2
fit: N
thank you: N
next to: N
no: N
police: N
put: N
leg: N
frog: 0
stuck: N
choo choo: N
ride: N
ladder: N
truck: N
bear: 0
movie: N
pretty: N
ankle: N
did: N
yard: N
cry: N
rain: N
boots: N
rocking chair: N
pen: N
tricycle: N
sing: N
stone: N
love: N
raisin: 2
toe: N
knee: N
before: N
cold: N
us: N
brown: N
chase: N
better: N
bug: 1
garden: N
drink (beverage): N
jump: N
radio: N
help: N
glass: N
sprinkler: N
bowl: N
fish (food): 2
noisy: N
am: N
look: N
puzzle: N
hello: N
garage: N
kitchen: N
bench: N
plate: N
her: N
pretend: N
fine: N
how: N
doll: N
sick: N
child: N
airplane: N
what: N
zoo: N
do: N
money: N
farm: N
mailman: N
closet: N
slow: N
garbage: N
inside: N
pattycake: N
zipper: N
like: N
sticky: N
tape: N
slide (object): N
down: N
where: N
mommy: N
night night: N
pancake: 2
paper: N
spoon: N
person: N
salt: 2
shower: N
find: N
fall: N
share: N
scarf: N
empty: N
could: N
same: N
goose: 0
yes: N
lick: N
circus: N
hard: N
some: N
out: N
high: N
cloud: N
bee: 1
mop: N
ice: N
cut: N
think: N
woof woof: N
diaper: N
grrr: N
work (place): N
motorcycle: N
wipe: N
red: N
animal: 0
teacher: N
mouse: N
school: N
tractor: N
block: N
telephone: N
taste: N
green beans: 2
water (not beverage): N
pour: N
glasses: N
draw: N
bib: N
woods: N
dryer: N
pea: 1
juice: 2
penny: N
bottle: N
swim: N
shopping: N
cute: N
alligator: 0
too: N
finger: N
finish: N
hold: N
coffee: 2
melon: 2
good: N
vitamins: N
all gone: N
have: N
washing machine: N
thirsty: N
comb: N
living room: N
tights: N
bath: N
gonna: N
popcorn: 2
knife: N
yesterday: N
pudding: 2
shoulder: N
get: N
firetruck: N
careful: N
an: N
jacket: N
breakfast: N
pick: N
full: N
house: N
lamp: N
gonna get you: N
dirty: N
peanut butter: 2
bus: N
dinner: N
doctor: N
slide (action): N
coat: N
table: N
