 hand / arm:
knee: 0
garage: 1
lamp: 2
will: 1
people: 3
mop: 4
lion: 1
walker: 3
try to: 3
jeans: 4
dinner: 3
stand: 4
wind: 1
sky: 1
morning: 2
teacher: 3
banana: 4
pour: 4
your: 3
wait: 2
could: 2
clown: 1
drop: 4
lollipop: 4
cow: 2
block: 3
bottle: 4
bat: 2
melon: 4
babysitter's name: N
tape: 3
downtown: 1
hard: 3
tired: 3
backyard: 2
closet: 1
woods: 1
and: N
plate: 4
train: 1
tummy: 2
give: 4
his: 3
kitchen: 3
stone: 2
out: 2
let me: 2
look: 3
bottom: 2
can (object): 4
beside: 2
every: N
circus: 1
don't: 2
porch: 2
be: N
pull: 4
church: 1
open: 4
want to: 3
grrr: 1
cowboy: 2
mommy: 3
corn: 4
there: N
green: N
turtle: 2
go: 3
cheek: 3
pet's name: N
key: 4
ice cream: 4
juice: 4
sandwich: 4
puzzle: 3
on: N
puppy: 3
stop: 3
penguin: 2
popcorn: 4
elephant: 2
soap: 4
do: N
write: 4
kitty: 3
slow: 2
roof: 1
fireman: 2
play: 3
quack quack: 1
cup: 4
toast: 4
mouse: 2
so big: 2
vanilla: 3
sink: 3
baby: 3
up: 3
hen: 2
wipe: 3
penis: 2
person: 3
egg: 4
bead: 3
work (action): 4
doctor: 2
chicken (food): 4
farm: 2
no: N
poor: 2
love: 3
we: N
yourself: 3
need: 3
sleep: 3
much: N
help: 3
sidewalk: 2
cat: 3
big: N
hide: 3
sneaker: 2
nurse: 2
hello: 2
peanut butter: 4
they: N
moon: 1
have to: 3
pickle: 4
naughty: 2
raisin: 4
build: 3
knock: 3
stick: 3
strawberry: 4
babysitter: 2
dump: 3
shake: 3
windy: 1
pancake: 4
that: N
all gone: 2
to: N
after: N
stove: 3
wolf: 2
first: N
pretzel: 4
pillow: 3
glove: 3
daddy: 3
read: 3
push: 3
sticky: 3
sick: 3
those: N
friend: 3
drive: 2
sofa: 2
new: N
tiger: 2
hungry: 3
head: N
snow: 1
hurry: 2
kleenex: 3
room: 3
nap: 3
mailman: 2
around: N
think: 2
go potty: 3
bathroom: 3
careful: 2
foot: N
now: N
scissors: 3
truck: 2
lip: 3
store: 2
buy: 3
noodle: 4
camping: 2
tiny: N
water (beverage): 4
pumpkin: 4
fork: 4
hi: 2
jacket: 3
share: 2
because: N
feed: 3
thirsty: 3
drink (beverage): 4
white: N
last: N
thank you: 3
hair: 3
hose: 3
hammer: 3
lick: 3
did ya: 2
turkey: 4
the: N
chalk: 3
wish: 2
grandpa: 3
hers: 3
is: N
I: N
hug: 3
alligator: 2
flower: 2
touch: 3
snack: 3
girl: 3
french fries: 4
gas station: 2
teddybear: 3
this: N
yesterday: 2
splash: 3
their: N
cut: 3
sweater: 3
draw: 3
motorcycle: 2
picnic: 2
into: N
him: 3
bicycle: 3
us: N
flag: 2
sing: 2
wanna: 2
eat: 3
horse: 2
ladder: 2
pants: 3
what: N
milk: 4
above: N
buttocks: 2
none: N
story: 3
