Here are the ratings for the actions related to the concept of foot / leg:

paint: 0
bubble: N
sock: 4
slipper: 4
don't: N
bench: N
bottom: 2
wolf: N
pajamas: N
love: N
gotta: N
asleep: N
corn: N
mad: N
bib: N
kleenex: N
telephone: N
owie: 2
cut: 2
penis: N
paper: N
ear: N
going to: N
banana: N
fork: N
skate: 5
today: N
pudding: N
smile: N
penguin: N
finish: N
give: N
sandbox: N
behind: 2
glass: N
hen: N
any: N
help: N
bead: N
close: N
sofa: N
with: N
train: N
water (beverage): N
fireman: N
hat: N
brown: N
this little piggy: 5
milk: N
arm: N
his: N
home: N
garbage: N
tractor: N
happy: N
orange (description): N
old: N
they: N
stone: N
tights: N
would: N
block: N
soup: N
present: N
pants: N
rip: 2
dark: N
balloon: N
crayon: N
brush: N
there: N
that: N
sweater: N
break: N
see: N
off: N
jar: N
because: N
and: N
box: N
hard: N
lady: N
glove: N
clock: N
hafta: N
buy: N
sweep: N
here: N
soap: N
boo boo: N
tricycle: N
jeans: N
make: N
careful: N
bean: N
night: N
clap: N
sun: N
green beans: N
myself: N
poor: N
uh oh: N
face: N
vagina: N
slide (object): N
TV: N
ladder: N
all gone: N
give me five: N
egg: N
picnic: N
on top of: N
donut: N
stove: N
giraffe: N
our: N
mop: N
hold: N
pen: N
bad: N
this: N
another: N
go: N
back: N
country: N
yogurt: N
button: N
later: N
yum yum: N
lunch: N
too: N
splash: N
get: N
bowl: N
man: N
animal: N
last: N
ride: N
pour: N
think: N
zoo: N
clean (action): 5
clean (description): N
chalk: N
oven: N
gonna: N
napkin: N
juice: N
stay: N
butter: N
loud: N
drink (action): 5
hair: N
windy: N
pretzel: N
truck: N
them: N
boy: N
slow: N
fix: N
when: N
fit: N
eat: N
garage: N
clown: N
park: N
stick: N
grrr: N
he: N
bathtub: N
babysitter: N
drawer: N
sing: N
school: N
swing (object): N
hose: N
towel: N
could: N
put: N
build: N
hammer: N
toothbrush: N
ant: N
doll: N
big: N
church: N
empty: N
nail: N
next to: N
spoon: N
each: N
peekaboo: N
much: N
chicken (food): N
lemme: N
dog: N
are: N
high: N
day: N
bear: N
store: N
call: N
were: N
high chair: N
bottle: N
sauce: N
me: N
dump: N
boots: N
new: N
ice cream: N
basement: N
closet: N
roof: N
applesauce: N
living room: N
grape: N
mine: N
mailman: N
bug: N
ouch: N
refrigerator: N
meow: N
sled: N
mouse: N
bump: N
basket: N
hush: N
blanket: N
baby: N
boat: N
pool: N
puppy: N
bathroom: N
better: N
sheep: N
stroller: N
scissors: N
dinner: N
doctor: N
airplane: N
wash: N
so big: N
play pen: N
cheese: N
wanna: N
motorcycle: N
like: N
hit: N
spaghetti: N
a: N
pizza: N
cookie: N
head: N
deer: N
couch: N
why: N
say: N
have: N
turn around: N
knife: N
did ya: N
popcorn: N
door: N
party: N
chin: N
finger: N
salt: N
lawn mower: N
before: N
kitchen: N
tiny: N
orange (food): N
coat: N
melon: N
beach: N
necklace: N
heavy: N
chocolate: N
sky: N
coke: N
cracker: N
you: N
none: N
money: N
draw: N
sister: N
these: N
shake: N
hear: N
thirsty: N
rooster: N
kiss: N
sticky: N
pancake: N
crib: N
by: N
morning: N
knock: N
catch: N
wake: N
on: N
hamburger: N
choo choo: N
hand: N
find: N
helicopter: N
pillow: N
jump: N
kitty: N
shh: N
girl: N
story: N
table: N
pretend: N
farm: N
tongue: N
potty: N
camping: N
washing machine: N
cake: N
friend: N
vitamins: N
play dough: N
apple: N
tired: N
raisin: N
hug: N
tray: N
walk: N
mommy: N
gonna get you: N
tiger: N
uncle: N
moose: N
comb: N
breakfast: N
can (object): N
puzzle: N
sad: N
rock: N
key: N
horse: N
plate: N
mouth: N
did: N
slide (action): N
feed: N
down: N
show: N
sprinkler: N
dress: N
lamb: N
read: N
hello: N
up: N
of: N
little: N
tuna: N
pig: N
grass: N
shirt: N
knee: 5
pop: N
playground: N
toe: 5
look: N
grandpa: N
blow: N
nose: N
pumpkin: N
glue: N
snow: N
inside: N
for: N
us: N
cereal: N
vacuum: N
pattycake: N
push: N
picture: N
elephant: N
lamp: N
chair: N
who: N
cheerio: N
firetruck: N
foot: 5
