Here are the ratings for seeing:

knee: 4
garage: 3
lamp: 5
will: N
people: 5
mop: 2
lion: 5
walker: 3
try to: N
jeans: 2
dinner: 2
stand: 2
wind: N
sky: 5
morning: 2
teacher: 3
banana: 2
pour: N
your: N
wait: N
could: N
clown: 3
drop: 2
lollipop: 3
cow: 3
block: 2
bottle: 2
bat: 2
melon: 2
babysitter's name: N
tape: 2
downtown: 3
hard: N
tired: N
backyard: 3
closet: 2
woods: 2
and: N
plate: 2
train: 3
tummy: 2
give: N
his: N
kitchen: 3
stone: 2
out: N
let me: N
look: 5
bottom: 2
can (object): 2
beside: 2
every: N
circus: 3
don't: N
porch: 2
be: N
pull: 2
church: 2
open: 2
want to: N
grrr: N
cowboy: 2
mommy: 2
corn: 2
there: N
green: 2
turtle: 3
go: N
cheek: 2
pet's name: N
key: 2
ice cream: 3
juice: 2
sandwich: 2
puzzle: 2
on: N
puppy: 3
stop: 2
penguin: 3
popcorn: 3
elephant: 3
soap: 2
do: N
write: N
kitty: 2
slow: N
roof: 2
fireman: 2
play: N
quack quack: N
cup: 2
toast: 2
mouse: 2
so big: N
vanilla: 2
sink: 2
baby: 3
up: N
hen: 2
wipe: 2
penis: N
person: 2
egg: 2
bead: 2
work (action): N
doctor: 2
chicken (food): 2
farm: 2
no: N
poor: N
love: N
we: N
yourself: N
need: N
sleep: N
much: N
help: N
sidewalk: 2
cat: 2
big: N
hide: N
sneaker: 2
nurse: 2
hello: N
peanut butter: 2
they: N
moon: 2
have to: N
pickle: 2
naughty: N
raisin: 2
build: N
knock: 2
stick: 2
strawberry: 2
babysitter: 2
dump: N
shake: N
windy: 2
pancake: 2
that: N
all gone: N
to: N
after: N
stove: 2
wolf: 2
first: N
pretzel: 2
pillow: 2
glove: 2
daddy: 2
read: N
push: 2
sticky: N
sick: N
those: N
friend: 2
drive: 2
sofa: 2
new: N
tiger: 2
hungry: N
head: 2
snow: 2
hurry: N
kleenex: 2
room: 2
nap: N
mailman: 2
around: N
think: N
go potty: N
bathroom: 2
careful: N
foot: 2
now: N
scissors: 2
truck: 2
lip: 2
store: 2
buy: N
noodle: 2
camping: 2
tiny: N
water (beverage): 2
pumpkin: 2
fork: 2
hi: N
jacket: 2
share: N
because: N
feed: N
thirsty: N
drink (beverage): 2
white: N
last: N
thank you: N
hair: 2
hose: 2
hammer: 2
lick: N
did ya: N
turkey: 2
the: N
chalk: 2
wish: N
grandpa: 2
hers: N
is: N
I: N
hug: 2
alligator: 2
flower: 2
touch: N
snack: 2
girl: 2
french fries: 2
gas station: 2
teddybear: 2
this: N
yesterday: N
splash: N
their: N
cut: 2
sweater: 2
draw: N
motorcycle: 2
picnic: 2
into: N
him: N
bicycle: 2
us: N
flag: 2
sing: N
wanna: N
eat: N
horse: 2
ladder: 2
pants: 2
what: N
milk: 2
above: N
buttocks: N
none: N
story: N
brown: 2
were: N
refrigerator: 2
a lot: N
hamburger: 2
so: N
ear: 2
ice: N
rock: 2
sock: 2
see: 5
boat: 2
heavy: N
dark: N
then: N
loud: 2
work (place): 2
yard: 2
muffin: 2
other: N
tray: 2
tickle: N
try: N
hold: N
where: N
kick: 2
awake: N
rocking chair: 2
brother: 2
sheep: 2
bib: 2
have: N
medicine: 2
red: 2
you: N
camera: 2
water (not beverage): 2
sleepy: N
hand: 2
bean: 2
dress: 2
run: N
scared: N
before: N
jump: N
wake: N
bee: 2
tree: 2
belt: 2
aunt: 2
pig: 2
finish: N
bump: 2
watch (action): N
hit: 2
garden: 2
our: N
soda: 2
more: N
leg: 2
yucky: N
close: 2
table: 2
long: N
grandma: 2
fast: N
cheese: 2
get: N
orange (description): 2
pool: 2
sun: 2
over: N
he: N
oven: 2
chase: N
pudding: 2
nut: 2
me: N
say: N
for: N
clean (description): 2
nose: 2
park: 2
chin: 2
wet: N
tomorrow: N
orange (food): 2
of: N
meat: 2
vroom: 2
sweep: 2
hat: 2
washing machine: 2
can (auxiliary): N
today: N
coffee: 2
pick: N
car: 2
squirrel: 2
inside: N
my: N
fish (food): 2
fine: N
which: N
pizza: 2
paper: 2
not: N
crayon: 2
dish: 2
tuna: 2
day: N
street: 2
dry (action): N
good: N
ouch: N
under: N
slide (object): 2
bug: 2
face: 2
cry: N
gonna get you: N
potty: 2
country: 2
baa baa: N
firetruck: 2
am: N
them: N
cute: N
cheerio: 2
swim: N
with: N
playground: 2
drink (action): N
in: N
crib: 2
cereal: 2
little: N
airplane: 2
boy: 2
tear: N
watch (object): N
ride: N
woof woof: N
if: N
rain: 2
broom: 2
snowman: 2
grass: 2
police: 2
donkey: 2
full: N
arm: 2
nail: 2
breakfast: 2
applesauce: 2
spill: N
stay: N
gotta: N
lunch: 2
couch: 2
monkey: 2
vitamins: 2
glue: 2
picture: 2
spoon: 2
on top of: N
a: N
zoo: 2
swing (action): N
shorts: 2
she: N
